market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-TFUEL,2025-01-27T13:30:00,2025-01-27T22:30:00,89.69,89.97,89.69,89.97,1737984774651,3413115.93600982,38035.19886569,30
KRW-TFUEL,2025-01-27T13:00:00,2025-01-27T22:00:00,90.06,90.54,89.36,89.68,1737984545533,47370264.49435452,526541.08165653,30
KRW-TFUEL,2025-01-27T12:30:00,2025-01-27T21:30:00,87.68,90.58,87.65,90.05,1737982753594,96004771.02769168,1075997.47312053,30
KRW-TFUEL,2025-01-27T12:00:00,2025-01-27T21:00:00,87.71,88.39,87.55,87.68,1737980982735,30942912.44249358,352593.13746138,30
KRW-TFUEL,2025-01-27T11:30:00,2025-01-27T20:30:00,88.33,88.37,87.7,87.7,1737979197449,73311616.5594587,831956.94791484,30
KRW-TFUEL,2025-01-27T11:00:00,2025-01-27T20:00:00,87.5,88.46,87.5,88.15,1737977186980,34477217.15094448,392428.88355412,30
KRW-TFUEL,2025-01-27T10:30:00,2025-01-27T19:30:00,88.42,88.44,87.45,87.52,1737975591213,43065018.61883418,489707.59207907,30
KRW-TFUEL,2025-01-27T10:00:00,2025-01-27T19:00:00,88.65,88.93,88.42,88.45,1737973790048,35619762.73778676,401792.53761872,30
KRW-TFUEL,2025-01-27T09:30:00,2025-01-27T18:30:00,88.38,89,88.24,88.93,1737971999135,22929662.15456349,257915.68665183,30
KRW-TFUEL,2025-01-27T09:00:00,2025-01-27T18:00:00,87.89,88.95,87.76,88.24,1737970184566,15770889.01489377,177885.16860624,30
KRW-TFUEL,2025-01-27T08:30:00,2025-01-27T17:30:00,88.4,88.49,87.39,87.89,1737968317703,158293839.27422804,1807304.35976582,30
KRW-TFUEL,2025-01-27T08:00:00,2025-01-27T17:00:00,89.16,89.35,88.16,88.66,1737966578513,111034247.91236271,1249849.45470775,30
KRW-TFUEL,2025-01-27T07:30:00,2025-01-27T16:30:00,87.77,89.89,87.77,89.09,1737964693571,132357382.5413382,1489146.66191432,30
KRW-TFUEL,2025-01-27T07:00:00,2025-01-27T16:00:00,89.38,89.47,87.52,87.77,1737962999232,224074038.18012875,2529593.17043907,30
KRW-TFUEL,2025-01-27T06:30:00,2025-01-27T15:30:00,89.84,89.86,88.5,89.27,1737961191568,185766950.63663754,2081608.0983444,30
KRW-TFUEL,2025-01-27T06:00:00,2025-01-27T15:00:00,90.34,90.44,89.74,89.87,1737959354824,61171053.99933628,679112.85016326,30
KRW-TFUEL,2025-01-27T05:30:00,2025-01-27T14:30:00,90.88,90.88,89.98,90.25,1737957556769,110226952.11584392,1221332.77055196,30
KRW-TFUEL,2025-01-27T05:00:00,2025-01-27T14:00:00,90.93,91.08,90.73,90.99,1737955788046,19394605.61189508,213418.08005636,30
KRW-TFUEL,2025-01-27T04:30:00,2025-01-27T13:30:00,91.09,91.1,90.72,90.93,1737953915004,46432565.64486205,510810.25665456,30
KRW-TFUEL,2025-01-27T04:00:00,2025-01-27T13:00:00,90.98,91.09,90.81,91.08,1737952172920,35990346.32390606,395738.435947,30
KRW-TFUEL,2025-01-27T03:30:00,2025-01-27T12:30:00,91.5,91.54,90.95,90.98,1737950391280,78331287.06876196,858815.49091602,30
KRW-TFUEL,2025-01-27T03:00:00,2025-01-27T12:00:00,90.59,92.08,90.59,91.52,1737948547992,51845627.85698654,567840.1862717,30
