market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-THETA,2025-01-27T13:30:00,2025-01-27T22:30:00,2814,2820,2806,2820,1737984779732,1398893.27901328,497.06941656,30
KRW-THETA,2025-01-27T13:00:00,2025-01-27T22:00:00,2805,2839,2790,2814,1737984564307,98131438.43746223,34846.60998697,30
KRW-THETA,2025-01-27T12:30:00,2025-01-27T21:30:00,2714,2830,2714,2807,1737982787990,32456860.29766166,11634.77407101,30
KRW-THETA,2025-01-27T12:00:00,2025-01-27T21:00:00,2735,2742,2711,2716,1737980989410,49020627.91529787,17988.57034493,30
KRW-THETA,2025-01-27T11:30:00,2025-01-27T20:30:00,2745,2753,2734,2734,1737979197091,21256922.50071934,7757.94218344,30
KRW-THETA,2025-01-27T11:00:00,2025-01-27T20:00:00,2712,2746,2712,2742,1737977187108,67420313.27550001,24707.38063135,30
KRW-THETA,2025-01-27T10:30:00,2025-01-27T19:30:00,2740,2740,2703,2706,1737975597625,59504290.62082546,21913.90693494,30
KRW-THETA,2025-01-27T10:00:00,2025-01-27T19:00:00,2760,2762,2745,2745,1737973776199,14516610.48856102,5275.07459802,30
KRW-THETA,2025-01-27T09:30:00,2025-01-27T18:30:00,2730,2764,2724,2754,1737971993195,60503782.56372005,22043.20217753,30
KRW-THETA,2025-01-27T09:00:00,2025-01-27T18:00:00,2721,2766,2716,2730,1737970199643,49677926.52681116,18095.40004788,30
KRW-THETA,2025-01-27T08:30:00,2025-01-27T17:30:00,2737,2737,2703,2720,1737968273986,118847384.05142622,43793.68864374,30
KRW-THETA,2025-01-27T08:00:00,2025-01-27T17:00:00,2760,2760,2721,2737,1737966570814,249077899.2119007,90879.61063758,30
KRW-THETA,2025-01-27T07:30:00,2025-01-27T16:30:00,2724,2783,2720,2760,1737964770907,234249317.53220713,84946.49416154,30
KRW-THETA,2025-01-27T07:00:00,2025-01-27T16:00:00,2783,2793,2720,2720,1737962998765,318481915.00217295,115789.02639298,30
KRW-THETA,2025-01-27T06:30:00,2025-01-27T15:30:00,2802,2804,2767,2773,1737961198177,123106989.93723735,44174.42899915,30
KRW-THETA,2025-01-27T06:00:00,2025-01-27T15:00:00,2820,2824,2800,2806,1737959240272,95335199.32874689,33935.05013309,30
KRW-THETA,2025-01-27T05:30:00,2025-01-27T14:30:00,2830,2831,2806,2810,1737957442603,114185028.34920575,40570.20050614,30
KRW-THETA,2025-01-27T05:00:00,2025-01-27T14:00:00,2834,2849,2830,2833,1737955691159,22992202.04310531,8107.4548458,30
KRW-THETA,2025-01-27T04:30:00,2025-01-27T13:30:00,2836,2849,2832,2832,1737953951577,41381338.71094596,14590.12652781,30
KRW-THETA,2025-01-27T04:00:00,2025-01-27T13:00:00,2857,2857,2831,2836,1737952199418,28376350.72286201,9974.29321406,30
KRW-THETA,2025-01-27T03:30:00,2025-01-27T12:30:00,2866,2866,2845,2848,1737950386004,25935450.20771908,9092.95534863,30
KRW-THETA,2025-01-27T03:00:00,2025-01-27T12:00:00,2832,2870,2832,2870,1737948336608,55353264.15516484,19469.46412578,30
KRW-THETA,2025-01-27T02:30:00,2025-01-27T11:30:00,2843,2843,2823,2832,1737946751186,76216528.4292283,26931.71921723,30
KRW-THETA,2025-01-27T02:00:00,2025-01-27T11:00:00,2871,2871,2825,2835,1737944980823,242959124.35150728,85421.25026257,30
KRW-THETA,2025-01-27T01:30:00,2025-01-27T10:30:00,2880,2890,2871,2871,1737943181649,48921730.84170664,16996.23769167,30
KRW-THETA,2025-01-27T01:00:00,2025-01-27T10:00:00,2907,2915,2865,2880,1737941387918,232198010.3464167,80450.58874182,30
KRW-THETA,2025-01-27T00:30:00,2025-01-27T09:30:00,2935,2935,2900,2908,1737939564213,191465865.35577407,65688.15329343,30
KRW-THETA,2025-01-27T00:00:00,2025-01-27T09:00:00,2959,2974,2926,2935,1737937799198,135846889.23304737,46157.71959874,30
KRW-THETA,2025-01-26T23:30:00,2025-01-27T08:30:00,2964,2964,2949,2949,1737935961089,39447634.09487641,13341.09242746,30
KRW-THETA,2025-01-26T23:00:00,2025-01-27T08:00:00,3006,3006,2956,2967,1737934165525,123966501.25533229,41642.92497412,30
