market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-TOKAMAK,2025-01-27T13:30:00,2025-01-27T22:30:00,2670,2680,2667,2680,1737984815863,5208313.732082,1951.21024811,30
KRW-TOKAMAK,2025-01-27T13:00:00,2025-01-27T22:00:00,2663,2695,2639,2670,1737984587860,297707170.76097554,111432.11978441,30
KRW-TOKAMAK,2025-01-27T12:30:00,2025-01-27T21:30:00,2619,2678,2599,2666,1737982793570,416299525.84463716,157777.24663476,30
KRW-TOKAMAK,2025-01-27T12:00:00,2025-01-27T21:00:00,2635,2636,2612,2612,1737980995831,138994574.2551307,53001.02601268,30
KRW-TOKAMAK,2025-01-27T11:30:00,2025-01-27T20:30:00,2628,2638,2610,2625,1737979186889,174470392.5309014,66371.5822652,30
KRW-TOKAMAK,2025-01-27T11:00:00,2025-01-27T20:00:00,2592,2641,2585,2626,1737977374520,246311930.1537535,94083.76266404,30
KRW-TOKAMAK,2025-01-27T10:30:00,2025-01-27T19:30:00,2643,2645,2592,2592,1737975587687,197842684.74746943,75607.3277417,30
KRW-TOKAMAK,2025-01-27T10:00:00,2025-01-27T19:00:00,2636,2645,2630,2643,1737973711747,100331721.64477646,38049.51808857,30
KRW-TOKAMAK,2025-01-27T09:30:00,2025-01-27T18:30:00,2628,2640,2623,2633,1737971942094,98225241.63286112,37338.87302516,30
KRW-TOKAMAK,2025-01-27T09:00:00,2025-01-27T18:00:00,2602,2641,2592,2641,1737970186922,238736179.291502,91101.6157396,30
KRW-TOKAMAK,2025-01-27T08:30:00,2025-01-27T17:30:00,2623,2634,2579,2607,1737968359318,375868362.51250494,144699.16612583,30
KRW-TOKAMAK,2025-01-27T08:00:00,2025-01-27T17:00:00,2650,2650,2603,2621,1737966586810,391273934.6053892,149066.57761339,30
KRW-TOKAMAK,2025-01-27T07:30:00,2025-01-27T16:30:00,2599,2659,2577,2650,1737964770081,636539660.4121522,243564.2747793,30
KRW-TOKAMAK,2025-01-27T07:00:00,2025-01-27T16:00:00,2669,2698,2593,2600,1737962994042,598852873.0449407,225736.12486873,30
KRW-TOKAMAK,2025-01-27T06:30:00,2025-01-27T15:30:00,2705,2710,2641,2669,1737961174624,609950725.3458202,228533.73986598,30
KRW-TOKAMAK,2025-01-27T06:00:00,2025-01-27T15:00:00,2712,2730,2703,2704,1737959399858,331451197.0613213,122221.53418027,30
KRW-TOKAMAK,2025-01-27T05:30:00,2025-01-27T14:30:00,2780,2784,2695,2705,1737957598547,720847661.2774049,263751.31058805,30
KRW-TOKAMAK,2025-01-27T05:00:00,2025-01-27T14:00:00,2782,2790,2778,2781,1737955790908,109361871.40734506,39317.44689673,30
KRW-TOKAMAK,2025-01-27T04:30:00,2025-01-27T13:30:00,2814,2830,2777,2778,1737953984400,297381712.3132135,106399.64368532,30
KRW-TOKAMAK,2025-01-27T04:00:00,2025-01-27T13:00:00,2778,2830,2777,2826,1737952198555,323296744.9734551,115403.0253255,30
KRW-TOKAMAK,2025-01-27T03:30:00,2025-01-27T12:30:00,2783,2794,2777,2788,1737950395440,184293376.6942186,66263.82015578,30
KRW-TOKAMAK,2025-01-27T03:00:00,2025-01-27T12:00:00,2784,2799,2775,2783,1737948567202,238860936.01121178,85807.29025351,30
KRW-TOKAMAK,2025-01-27T02:30:00,2025-01-27T11:30:00,2783,2808,2761,2784,1737946787546,245539617.46458068,88257.04349939,30
KRW-TOKAMAK,2025-01-27T02:00:00,2025-01-27T11:00:00,2785,2799,2770,2783,1737944998134,269982447.4393531,97241.92712298,30
KRW-TOKAMAK,2025-01-27T01:30:00,2025-01-27T10:30:00,2784,2802,2770,2799,1737943190345,395045039.36422443,141690.8338058,30
KRW-TOKAMAK,2025-01-27T01:00:00,2025-01-27T10:00:00,2788,2799,2736,2783,1737941398950,1212758464.420213,439079.89665353,30
KRW-TOKAMAK,2025-01-27T00:30:00,2025-01-27T09:30:00,2898,2926,2772,2781,1737939597711,1582283935.553152,561437.78782564,30
KRW-TOKAMAK,2025-01-27T00:00:00,2025-01-27T09:00:00,3023,3142,2839,2898,1737937799908,6366350920.639412,2150158.8843043,30
KRW-TOKAMAK,2025-01-26T23:30:00,2025-01-27T08:30:00,3051,3069,2910,3022,1737935998909,2473529543.935081,827112.16689686,30
KRW-TOKAMAK,2025-01-26T23:00:00,2025-01-27T08:00:00,2928,3073,2928,3066,1737934199875,1807186857.2724562,599193.95904273,30
KRW-TOKAMAK,2025-01-26T22:30:00,2025-01-27T07:30:00,2965,2971,2928,2928,1737932384169,296522568.0675131,100776.0013083,30
KRW-TOKAMAK,2025-01-26T22:00:00,2025-01-27T07:00:00,3000,3007,2958,2965,1737930560258,352941257.18252355,118439.12671177,30
KRW-TOKAMAK,2025-01-26T21:30:00,2025-01-27T06:30:00,2949,3010,2945,3000,1737928797025,322323349.17452204,107910.79727341,30
KRW-TOKAMAK,2025-01-26T21:00:00,2025-01-27T06:00:00,2957,2980,2945,2949,1737926955749,128214721.15018515,43404.90481679,30
KRW-TOKAMAK,2025-01-26T20:30:00,2025-01-27T05:30:00,2965,2965,2923,2958,1737925166997,166460980.96502998,56639.03905738,30
KRW-TOKAMAK,2025-01-26T20:00:00,2025-01-27T05:00:00,2929,2983,2925,2969,1737923394613,116712350.75815117,39380.66560962,30
KRW-TOKAMAK,2025-01-26T19:30:00,2025-01-27T04:30:00,2941,2980,2910,2929,1737921598226,90604707.12822577,30926.76158567,30
KRW-TOKAMAK,2025-01-26T19:00:00,2025-01-27T04:00:00,2950,2957,2940,2941,1737919798204,26295022.57431301,8922.61812051,30
KRW-TOKAMAK,2025-01-26T18:30:00,2025-01-27T03:30:00,2957,2964,2933,2950,1737917974186,152593089.3774683,51840.37013455,30
KRW-TOKAMAK,2025-01-26T18:00:00,2025-01-27T03:00:00,2933,3003,2933,2957,1737916199455,170724776.47960225,57325.30363793,30
KRW-TOKAMAK,2025-01-26T17:30:00,2025-01-27T02:30:00,2991,2992,2926,2930,1737914385627,133994226.24749161,45356.27087838,30
KRW-TOKAMAK,2025-01-26T17:00:00,2025-01-27T02:00:00,2993,2995,2907,2992,1737912593962,513524348.41809654,173884.78618223,30
KRW-TOKAMAK,2025-01-26T16:30:00,2025-01-27T01:30:00,2890,3001,2890,2998,1737910798266,597043065.9291571,202547.39445982,30
KRW-TOKAMAK,2025-01-26T16:00:00,2025-01-27T01:00:00,2862,2889,2862,2889,1737908992358,116695612.34218238,40639.72931006,30
KRW-TOKAMAK,2025-01-26T15:30:00,2025-01-27T00:30:00,2847,2882,2836,2875,1737907199347,187046687.51841646,65548.59433957,30
KRW-TOKAMAK,2025-01-26T15:00:00,2025-01-27T00:00:00,2893,2906,2835,2837,1737905393274,422075786.39601904,146962.62449654,30
KRW-TOKAMAK,2025-01-26T14:30:00,2025-01-26T23:30:00,2871,2964,2862,2893,1737903591214,755842144.9390637,259523.26065106,30
KRW-TOKAMAK,2025-01-26T14:00:00,2025-01-26T23:00:00,2835,2904,2828,2871,1737901799725,633496010.6759125,220573.97493152,30
