market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-TRX,2025-01-27T13:30:00,2025-01-27T22:30:00,372,372,370,372,1737984810238,49007255.19245287,132076.08249753,30
KRW-TRX,2025-01-27T13:00:00,2025-01-27T22:00:00,371,374,370,372,1737984599932,1051817417.418223,2829787.95659535,30
KRW-TRX,2025-01-27T12:30:00,2025-01-27T21:30:00,368,373,367,372,1737982796236,659192867.1188089,1782733.63250044,30
KRW-TRX,2025-01-27T12:00:00,2025-01-27T21:00:00,366,368,365,368,1737980972278,326698976.3658511,890640.77409952,30
KRW-TRX,2025-01-27T11:30:00,2025-01-27T20:30:00,367,367,365,366,1737979196063,283433972.225525,773709.3282631,30
KRW-TRX,2025-01-27T11:00:00,2025-01-27T20:00:00,366,367,365,367,1737977391080,382505959.8636869,1045505.59308508,30
KRW-TRX,2025-01-27T10:30:00,2025-01-27T19:30:00,366,367,364,365,1737975597072,662920744.7328683,1813211.76694973,30
KRW-TRX,2025-01-27T10:00:00,2025-01-27T19:00:00,368,368,366,367,1737973795370,282614205.21709734,770254.43874129,30
KRW-TRX,2025-01-27T09:30:00,2025-01-27T18:30:00,363,368,362,368,1737971994337,640101005.1300299,1755174.32327882,30
KRW-TRX,2025-01-27T09:00:00,2025-01-27T18:00:00,363,366,362,363,1737970186652,591561730.7133278,1627076.93294214,30
KRW-TRX,2025-01-27T08:30:00,2025-01-27T17:30:00,364,365,361,363,1737968399590,1160237255.4624276,3198284.9611762,30
KRW-TRX,2025-01-27T08:00:00,2025-01-27T17:00:00,364,366,362,364,1737966599004,742171866.0277443,2039714.18186808,30
KRW-TRX,2025-01-27T07:30:00,2025-01-27T16:30:00,361,367,360,364,1737964791555,1074508193.6441052,2958216.97143464,30
KRW-TRX,2025-01-27T07:00:00,2025-01-27T16:00:00,365,365,360,361,1737962998708,1606369037.1512928,4425059.22030643,30
KRW-TRX,2025-01-27T06:30:00,2025-01-27T15:30:00,367,368,364,365,1737961197552,1525161875.6030104,4171777.21322409,30
KRW-TRX,2025-01-27T06:00:00,2025-01-27T15:00:00,368,370,367,368,1737959399292,816166632.1500356,2215422.73746909,30
KRW-TRX,2025-01-27T05:30:00,2025-01-27T14:30:00,371,371,368,369,1737957596512,1268148388.5264604,3437780.79013039,30
KRW-TRX,2025-01-27T05:00:00,2025-01-27T14:00:00,371,371,370,370,1737955796981,404673430.500325,1092408.21825917,30
KRW-TRX,2025-01-27T04:30:00,2025-01-27T13:30:00,370,371,369,371,1737953992691,360949719.8110168,975588.60553511,30
KRW-TRX,2025-01-27T04:00:00,2025-01-27T13:00:00,370,371,369,370,1737952191044,385415673.4804478,1040418.97334038,30
KRW-TRX,2025-01-27T03:30:00,2025-01-27T12:30:00,371,372,370,371,1737950393588,302074532.2418094,813835.14006142,30
KRW-TRX,2025-01-27T03:00:00,2025-01-27T12:00:00,369,372,368,371,1737948588666,672959809.17622,1821107.69307942,30
KRW-TRX,2025-01-27T02:30:00,2025-01-27T11:30:00,369,370,368,369,1737946782725,911079591.3787832,2471662.66842455,30
KRW-TRX,2025-01-27T02:00:00,2025-01-27T11:00:00,371,371,369,369,1737944993393,827110606.6573658,2236383.86108831,30
KRW-TRX,2025-01-27T01:30:00,2025-01-27T10:30:00,371,372,370,370,1737943198370,473373678.134428,1276730.96694837,30
KRW-TRX,2025-01-27T01:00:00,2025-01-27T10:00:00,372,373,370,371,1737941391442,990660394.0052884,2669232.03669807,30
KRW-TRX,2025-01-27T00:30:00,2025-01-27T09:30:00,374,375,372,372,1737939593863,685634650.5217794,1837383.68129911,30
KRW-TRX,2025-01-27T00:00:00,2025-01-27T09:00:00,375,376,373,374,1737937792762,1103904339.120926,2948417.87533694,30
KRW-TRX,2025-01-26T23:30:00,2025-01-27T08:30:00,376,377,373,375,1737935997576,1533038087.8386679,4091926.74389386,30
KRW-TRX,2025-01-26T23:00:00,2025-01-27T08:00:00,379,380,376,377,1737934193344,657118270.7308027,1738947.15731209,30
