market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-TT,2025-01-27T13:30:00,2025-01-27T22:30:00,5.517,5.517,5.515,5.515,1737984813297,835077.46126927,151386.43759551,30
KRW-TT,2025-01-27T13:00:00,2025-01-27T22:00:00,5.482,5.549,5.443,5.496,1737984466406,118738481.57037383,21630837.82158344,30
KRW-TT,2025-01-27T12:30:00,2025-01-27T21:30:00,5.412,5.467,5.412,5.465,1737982710600,24446541.32771089,4486328.91471193,30
KRW-TT,2025-01-27T12:00:00,2025-01-27T21:00:00,5.369,5.423,5.358,5.413,1737980976444,22686576.30102606,4211375.67323095,30
KRW-TT,2025-01-27T11:30:00,2025-01-27T20:30:00,5.359,5.37,5.339,5.369,1737979176045,38077606.61624334,7114825.9101574,30
KRW-TT,2025-01-27T11:00:00,2025-01-27T20:00:00,5.361,5.377,5.339,5.359,1737977312561,47405419.04236583,8856014.89552405,30
KRW-TT,2025-01-27T10:30:00,2025-01-27T19:30:00,5.427,5.427,5.353,5.361,1737975539434,42368616.20535264,7856946.66520884,30
KRW-TT,2025-01-27T10:00:00,2025-01-27T19:00:00,5.446,5.455,5.422,5.427,1737973720075,20609903.00270081,3791319.72924645,30
KRW-TT,2025-01-27T09:30:00,2025-01-27T18:30:00,5.433,5.481,5.42,5.445,1737971971980,42431298.74753878,7808570.35954979,30
KRW-TT,2025-01-27T09:00:00,2025-01-27T18:00:00,5.405,5.48,5.375,5.435,1737970147066,28355918.40630114,5215531.7026082,30
KRW-TT,2025-01-27T08:30:00,2025-01-27T17:30:00,5.429,5.429,5.372,5.411,1737968347427,57379695.61006301,10643090.80015413,30
KRW-TT,2025-01-27T08:00:00,2025-01-27T17:00:00,5.432,5.464,5.392,5.442,1737966546461,42994035.49502465,7936744.87252443,30
KRW-TT,2025-01-27T07:30:00,2025-01-27T16:30:00,5.328,5.462,5.314,5.427,1737964763372,108679389.80059363,20207671.77243902,30
KRW-TT,2025-01-27T07:00:00,2025-01-27T16:00:00,5.432,5.523,5.328,5.328,1737962991207,108839645.53051454,20090858.70408541,30
KRW-TT,2025-01-27T06:30:00,2025-01-27T15:30:00,5.445,5.49,5.314,5.432,1737961140350,341843150.930647,63456011.76992127,30
KRW-TT,2025-01-27T06:00:00,2025-01-27T15:00:00,5.501,5.508,5.435,5.443,1737959322322,60527926.21391571,11071426.17168833,30
KRW-TT,2025-01-27T05:30:00,2025-01-27T14:30:00,5.531,5.552,5.456,5.501,1737957563879,137761549.99773926,25047016.2339727,30
KRW-TT,2025-01-27T05:00:00,2025-01-27T14:00:00,5.552,5.552,5.52,5.521,1737955791947,47486228.45143489,8581249.82395524,30
KRW-TT,2025-01-27T04:30:00,2025-01-27T13:30:00,5.556,5.572,5.531,5.552,1737953973064,18188065.52804599,3285566.54108638,30
KRW-TT,2025-01-27T04:00:00,2025-01-27T13:00:00,5.558,5.584,5.556,5.565,1737952197695,35171014.68564307,6325835.27311073,30
