market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-UNI,2025-01-27T13:30:00,2025-01-27T22:30:00,16550,16590,16540,16550,1737984736388,10631257.3910889,642.22831947,30
KRW-UNI,2025-01-27T13:00:00,2025-01-27T22:00:00,16550,16750,16490,16550,1737984555150,212622934.5330341,12781.66633284,30
KRW-UNI,2025-01-27T12:30:00,2025-01-27T21:30:00,16220,16610,16200,16550,1737982789209,218663142.5431769,13256.10213172,30
KRW-UNI,2025-01-27T12:00:00,2025-01-27T21:00:00,16180,16300,16160,16190,1737980986833,105396954.393393,6491.95787827,30
KRW-UNI,2025-01-27T11:30:00,2025-01-27T20:30:00,16230,16280,16160,16180,1737979162979,47666451.609011,2942.7796662,30
KRW-UNI,2025-01-27T11:00:00,2025-01-27T20:00:00,16100,16250,16050,16230,1737977331400,52559772.0221215,3257.63086916,30
KRW-UNI,2025-01-27T10:30:00,2025-01-27T19:30:00,16200,16200,16010,16090,1737975584892,121239415.860278,7528.07018655,30
KRW-UNI,2025-01-27T10:00:00,2025-01-27T19:00:00,16300,16310,16200,16200,1737973749501,91718793.882465,5647.09665435,30
KRW-UNI,2025-01-27T09:30:00,2025-01-27T18:30:00,16170,16360,16150,16300,1737971962743,82380809.8371284,5061.38817338,30
KRW-UNI,2025-01-27T09:00:00,2025-01-27T18:00:00,16130,16330,16100,16170,1737970179325,73009967.8336847,4502.15977954,30
KRW-UNI,2025-01-27T08:30:00,2025-01-27T17:30:00,16320,16320,16090,16130,1737968383452,299591311.6315306,18537.35623939,30
KRW-UNI,2025-01-27T08:00:00,2025-01-27T17:00:00,16460,16490,16260,16320,1737966597297,123744608.2656432,7568.84812334,30
KRW-UNI,2025-01-27T07:30:00,2025-01-27T16:30:00,16010,16530,15980,16460,1737964792295,403922987.4544152,24830.46130695,30
KRW-UNI,2025-01-27T07:00:00,2025-01-27T16:00:00,16280,16390,15990,16010,1737962999614,511775690.1601778,31661.56672942,30
KRW-UNI,2025-01-27T06:30:00,2025-01-27T15:30:00,16320,16380,16200,16280,1737961192374,296688174.9846012,18232.55126535,30
KRW-UNI,2025-01-27T06:00:00,2025-01-27T15:00:00,16450,16470,16230,16340,1737959387709,390584684.033753,23903.56205936,30
KRW-UNI,2025-01-27T05:30:00,2025-01-27T14:30:00,16560,16560,16360,16420,1737957597398,514492077.5840315,31263.20834081,30
KRW-UNI,2025-01-27T05:00:00,2025-01-27T14:00:00,16610,16670,16550,16570,1737955778352,237657598.2614216,14313.30719405,30
KRW-UNI,2025-01-27T04:30:00,2025-01-27T13:30:00,16660,16710,16570,16600,1737953992769,204845455.5957682,12318.90327574,30
KRW-UNI,2025-01-27T04:00:00,2025-01-27T13:00:00,16830,16830,16620,16660,1737952199278,457479873.5677258,27343.2868309,30
KRW-UNI,2025-01-27T03:30:00,2025-01-27T12:30:00,16940,16940,16790,16830,1737950396479,226133692.2127359,13434.96183703,30
KRW-UNI,2025-01-27T03:00:00,2025-01-27T12:00:00,16880,17050,16820,16940,1737948582737,295865164.465211,17444.14152447,30
KRW-UNI,2025-01-27T02:30:00,2025-01-27T11:30:00,17000,17030,16820,16880,1737946788086,810432874.5553629,47978.19895304,30
KRW-UNI,2025-01-27T02:00:00,2025-01-27T11:00:00,17150,17170,16980,17020,1737944988653,468257080.083289,27455.80014321,30
KRW-UNI,2025-01-27T01:30:00,2025-01-27T10:30:00,17150,17290,17130,17160,1737943175889,440286369.6899104,25569.96960677,30
KRW-UNI,2025-01-27T01:00:00,2025-01-27T10:00:00,17370,17410,17060,17150,1737941399873,906449587.5851098,52683.61553536,30
KRW-UNI,2025-01-27T00:30:00,2025-01-27T09:30:00,17480,17570,17370,17370,1737939577661,330384873.4266252,18885.61735935,30
KRW-UNI,2025-01-27T00:00:00,2025-01-27T09:00:00,17430,17580,17320,17480,1737937798202,459222042.9197528,26370.77984987,30
KRW-UNI,2025-01-26T23:30:00,2025-01-27T08:30:00,17530,17530,17380,17420,1737935994527,416083422.3047432,23865.94547885,30
KRW-UNI,2025-01-26T23:00:00,2025-01-27T08:00:00,17720,17740,17470,17580,1737934195073,521106911.2482529,29658.85539797,30
KRW-UNI,2025-01-26T22:30:00,2025-01-27T07:30:00,17800,17860,17720,17720,1737932370409,99864013.7324996,5610.65506651,30
KRW-UNI,2025-01-26T22:00:00,2025-01-27T07:00:00,17790,17810,17670,17770,1737930591082,245689925.5172928,13862.65727917,30
KRW-UNI,2025-01-26T21:30:00,2025-01-27T06:30:00,17880,17880,17790,17790,1737928798931,128397244.8860775,7207.2243173,30
KRW-UNI,2025-01-26T21:00:00,2025-01-27T06:00:00,17960,17960,17850,17880,1737926997675,224761030.1299228,12554.23459165,30
KRW-UNI,2025-01-26T20:30:00,2025-01-27T05:30:00,18040,18040,17960,17960,1737925174822,79379977.1535098,4412.38121916,30
KRW-UNI,2025-01-26T20:00:00,2025-01-27T05:00:00,18030,18070,18000,18040,1737923396623,14759088.0070657,818.67713132,30
KRW-UNI,2025-01-26T19:30:00,2025-01-27T04:30:00,18050,18050,18020,18030,1737921545703,13115366.2985253,727.08963307,30
KRW-UNI,2025-01-26T19:00:00,2025-01-27T04:00:00,18100,18120,18030,18050,1737919769127,20368281.5872555,1126.27712773,30
KRW-UNI,2025-01-26T18:30:00,2025-01-27T03:30:00,18180,18190,18070,18080,1737917987294,38086471.6462918,2101.44765336,30
KRW-UNI,2025-01-26T18:00:00,2025-01-27T03:00:00,18110,18170,18080,18150,1737915942548,56483215.8781319,3115.83958135,30
KRW-UNI,2025-01-26T17:30:00,2025-01-27T02:30:00,17980,18140,17950,18130,1737914276949,132666548.1547088,7355.27652834,30
KRW-UNI,2025-01-26T17:00:00,2025-01-27T02:00:00,17990,18020,17960,17960,1737912529589,82087750.4694521,4564.3304675,30
KRW-UNI,2025-01-26T16:30:00,2025-01-27T01:30:00,17950,18070,17950,17990,1737910724606,80117426.3761988,4450.37052414,30
KRW-UNI,2025-01-26T16:00:00,2025-01-27T01:00:00,17970,17990,17900,17950,1737908985690,174088300.5688268,9709.07031056,30
KRW-UNI,2025-01-26T15:30:00,2025-01-27T00:30:00,18020,18030,17940,17940,1737907103390,126102533.8158977,7010.95956311,30
KRW-UNI,2025-01-26T15:00:00,2025-01-27T00:00:00,18020,18080,17970,18020,1737905393722,230952748.13261,12820.15161516,30
KRW-UNI,2025-01-26T14:30:00,2025-01-26T23:30:00,17950,18020,17940,18020,1737903567349,99171363.8930772,5512.05580874,30
KRW-UNI,2025-01-26T14:00:00,2025-01-26T23:00:00,17940,17990,17930,17950,1737901764833,199081094.9055868,11089.37070119,30
KRW-UNI,2025-01-26T13:30:00,2025-01-26T22:30:00,17990,17990,17900,17940,1737899944509,230287141.0658019,12833.00670138,30
KRW-UNI,2025-01-26T13:00:00,2025-01-26T22:00:00,18010,18030,17970,17990,1737898198517,193099022.5477442,10723.95501832,30
KRW-UNI,2025-01-26T12:30:00,2025-01-26T21:30:00,17970,18030,17950,18000,1737896375053,139318944.5214048,7742.35903238,30
KRW-UNI,2025-01-26T12:00:00,2025-01-26T21:00:00,18040,18040,17930,17970,1737894584322,216704869.6395906,12054.60178918,30
KRW-UNI,2025-01-26T11:30:00,2025-01-26T20:30:00,18050,18050,18010,18040,1737892784773,75002244.9949633,4159.74799852,30
KRW-UNI,2025-01-26T11:00:00,2025-01-26T20:00:00,17970,18100,17970,18060,1737890910099,91853234.8550393,5093.99606837,30
KRW-UNI,2025-01-26T10:30:00,2025-01-26T19:30:00,17980,18000,17920,17970,1737889199392,145585509.5951072,8106.23939968,30
KRW-UNI,2025-01-26T10:00:00,2025-01-26T19:00:00,18010,18060,17950,17980,1737887390743,214780883.3827821,11938.08875303,30
KRW-UNI,2025-01-26T09:30:00,2025-01-26T18:30:00,18120,18130,18000,18010,1737885597704,217999420.3163806,12081.01615265,30
KRW-UNI,2025-01-26T09:00:00,2025-01-26T18:00:00,18210,18230,18100,18120,1737883770595,132812416.809146,7315.06448886,30
KRW-UNI,2025-01-26T08:30:00,2025-01-26T17:30:00,18210,18230,18120,18210,1737881973115,126823053.941665,6973.12228926,30
KRW-UNI,2025-01-26T08:00:00,2025-01-26T17:00:00,18280,18330,18210,18230,1737880021566,46884155.1403844,2565.85922571,30
KRW-UNI,2025-01-26T07:30:00,2025-01-26T16:30:00,18250,18270,18200,18250,1737878394083,112843588.6548956,6192.55616036,30
KRW-UNI,2025-01-26T07:00:00,2025-01-26T16:00:00,18330,18350,18250,18250,1737876597608,97791555.5376497,5352.38198913,30
KRW-UNI,2025-01-26T06:30:00,2025-01-26T15:30:00,18320,18360,18290,18300,1737874771676,65862468.6182652,3596.06728203,30
KRW-UNI,2025-01-26T06:00:00,2025-01-26T15:00:00,18450,18450,18320,18320,1737872946179,68945124.1351333,3750.74545116,30
KRW-UNI,2025-01-26T05:30:00,2025-01-26T14:30:00,18450,18500,18400,18420,1737871160667,88714732.7971863,4813.52492308,30
KRW-UNI,2025-01-26T05:00:00,2025-01-26T14:00:00,18510,18520,18400,18400,1737869302844,90360165.1479627,4899.11448557,30
KRW-UNI,2025-01-26T04:30:00,2025-01-26T13:30:00,18420,18550,18390,18510,1737867596308,118476798.4572553,6423.35568203,30
KRW-UNI,2025-01-26T04:00:00,2025-01-26T13:00:00,18310,18440,18250,18440,1737865795217,130935223.4191689,7144.93788281,30
KRW-UNI,2025-01-26T03:30:00,2025-01-26T12:30:00,18200,18370,18170,18290,1737863984773,85557447.2262799,4679.7282816,30
KRW-UNI,2025-01-26T03:00:00,2025-01-26T12:00:00,18150,18210,18120,18160,1737862133429,65176729.7372729,3588.0213532,30
KRW-UNI,2025-01-26T02:30:00,2025-01-26T11:30:00,18130,18150,18080,18110,1737860304561,123095351.9175791,6797.99061793,30
KRW-UNI,2025-01-26T02:00:00,2025-01-26T11:00:00,18190,18190,18100,18120,1737858582399,171549005.0577229,9457.66611038,30
KRW-UNI,2025-01-26T01:30:00,2025-01-26T10:30:00,18200,18240,18140,18190,1737856780140,89322573.2449811,4908.18074497,30
KRW-UNI,2025-01-26T01:00:00,2025-01-26T10:00:00,18210,18290,18200,18210,1737854996676,123860914.2033843,6797.57393557,30
KRW-UNI,2025-01-26T00:30:00,2025-01-26T09:30:00,18230,18240,18180,18210,1737853195037,47281776.6490487,2596.60302752,30
KRW-UNI,2025-01-26T00:00:00,2025-01-26T09:00:00,18190,18220,18080,18220,1737851373945,189529966.3870714,10451.28258002,30
KRW-UNI,2025-01-25T23:30:00,2025-01-26T08:30:00,18140,18190,18100,18190,1737849588153,273043045.729071,15046.19933938,30
KRW-UNI,2025-01-25T23:00:00,2025-01-26T08:00:00,18180,18190,18110,18120,1737847728961,147240893.1982205,8113.99571031,30
KRW-UNI,2025-01-25T22:30:00,2025-01-26T07:30:00,18270,18280,18160,18200,1737845982702,159658322.5191253,8768.07606329,30
KRW-UNI,2025-01-25T22:00:00,2025-01-26T07:00:00,18240,18320,18230,18270,1737844154399,87865691.8210725,4801.91658397,30
KRW-UNI,2025-01-25T21:30:00,2025-01-26T06:30:00,18220,18240,18170,18240,1737842354422,75680387.2061089,4159.60039904,30
KRW-UNI,2025-01-25T21:00:00,2025-01-26T06:00:00,18230,18250,18200,18220,1737840342362,55386913.8996241,3041.39547405,30
