market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-USDC,2025-01-27T13:30:00,2025-01-27T22:30:00,1533,1535,1529,1534,1737984827733,53349350.19481836,34804.96253151,30
KRW-USDC,2025-01-27T13:00:00,2025-01-27T22:00:00,1543,1543,1531,1533,1737984586633,125291190.77927852,81659.72546332,30
KRW-USDC,2025-01-27T12:30:00,2025-01-27T21:30:00,1541,1548,1539,1539,1737982737513,150036410.7752474,97169.54411292,30
KRW-USDC,2025-01-27T12:00:00,2025-01-27T21:00:00,1541,1547,1535,1541,1737980982716,116380564.62532263,75477.0453423,30
KRW-USDC,2025-01-27T11:30:00,2025-01-27T20:30:00,1537,1541,1536,1541,1737979175422,40805508.40888129,26520.54446621,30
KRW-USDC,2025-01-27T11:00:00,2025-01-27T20:00:00,1545,1547,1537,1539,1737977318866,59361870.3166666,38515.4554139,30
KRW-USDC,2025-01-27T10:30:00,2025-01-27T19:30:00,1545,1549,1541,1547,1737975591650,73655072.26463784,47646.33675127,30
KRW-USDC,2025-01-27T10:00:00,2025-01-27T19:00:00,1536,1545,1536,1545,1737973799545,45050670.21032582,29226.67374605,30
KRW-USDC,2025-01-27T09:30:00,2025-01-27T18:30:00,1543,1544,1534,1536,1737971998525,48227080.01943771,31315.54927717,30
KRW-USDC,2025-01-27T09:00:00,2025-01-27T18:00:00,1542,1543,1530,1540,1737970194921,130310573.51888528,84860.41567893,30
KRW-USDC,2025-01-27T08:30:00,2025-01-27T17:30:00,1549,1553,1536,1536,1737968364837,216746554.46054706,140187.8653172,30
KRW-USDC,2025-01-27T08:00:00,2025-01-27T17:00:00,1548,1553,1544,1545,1737966591803,369203682.4053963,238345.46433088,30
KRW-USDC,2025-01-27T07:30:00,2025-01-27T16:30:00,1554,1556,1540,1548,1737964789847,282754532.6296757,182647.78673385,30
KRW-USDC,2025-01-27T07:00:00,2025-01-27T16:00:00,1541,1555,1537,1554,1737962999518,433385556.2390329,280498.48904017,30
KRW-USDC,2025-01-27T06:30:00,2025-01-27T15:30:00,1535,1547,1533,1541,1737961195613,130792095.39346503,84819.8352106,30
KRW-USDC,2025-01-27T06:00:00,2025-01-27T15:00:00,1535,1539,1529,1535,1737959393296,87687595.39085777,57152.38746528,30
