market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-USDT,2025-01-27T13:30:00,2025-01-27T22:30:00,1533,1534,1532,1533,1737984829213,887738793.1149756,578984.39532625,30
KRW-USDT,2025-01-27T13:00:00,2025-01-27T22:00:00,1539,1539,1530,1534,1737984599174,14679698314.04263,9571634.25753997,30
KRW-USDT,2025-01-27T12:30:00,2025-01-27T21:30:00,1543,1544,1538,1539,1737982799522,9960630275.10713,6457541.5655846,30
KRW-USDT,2025-01-27T12:00:00,2025-01-27T21:00:00,1538,1544,1535,1543,1737980999754,9680094152.743235,6290156.78189709,30
KRW-USDT,2025-01-27T11:30:00,2025-01-27T20:30:00,1536,1538,1534,1538,1737979199957,8784016054.335543,5717241.15852357,30
KRW-USDT,2025-01-27T11:00:00,2025-01-27T20:00:00,1544,1545,1533,1536,1737977400013,12533397286.536531,8144472.82340352,30
KRW-USDT,2025-01-27T10:30:00,2025-01-27T19:30:00,1543,1546,1542,1545,1737975593400,8927899404.055813,5779587.39363231,30
KRW-USDT,2025-01-27T10:00:00,2025-01-27T19:00:00,1538,1543,1538,1543,1737973799966,8644937703.66378,5611444.22474487,30
KRW-USDT,2025-01-27T09:30:00,2025-01-27T18:30:00,1539,1540,1537,1538,1737971999627,10034464343.903015,6522508.21916714,30
KRW-USDT,2025-01-27T09:00:00,2025-01-27T18:00:00,1537,1539,1533,1539,1737970199965,14153170376.088614,9214325.2168888,30
KRW-USDT,2025-01-27T08:30:00,2025-01-27T17:30:00,1545,1548,1536,1538,1737968398265,23964091553.922768,15521168.24373087,30
KRW-USDT,2025-01-27T08:00:00,2025-01-27T17:00:00,1546,1549,1543,1545,1737966599826,23394705135.094242,15129885.93585157,30
KRW-USDT,2025-01-27T07:30:00,2025-01-27T16:30:00,1550,1553,1543,1546,1737964800021,35931099459.5857,23244671.8889311,30
KRW-USDT,2025-01-27T07:00:00,2025-01-27T16:00:00,1539,1550,1534,1550,1737962999795,34501318733.31468,22398359.99832996,30
KRW-USDT,2025-01-27T06:30:00,2025-01-27T15:30:00,1534,1540,1532,1539,1737961199708,24353249999.415947,15844090.62901095,30
KRW-USDT,2025-01-27T06:00:00,2025-01-27T15:00:00,1532,1536,1526,1534,1737959399261,14144855419.031696,9230438.76895372,30
KRW-USDT,2025-01-27T05:30:00,2025-01-27T14:30:00,1532,1538,1531,1532,1737957599777,17454686463.09457,11368840.39085473,30
KRW-USDT,2025-01-27T05:00:00,2025-01-27T14:00:00,1532,1535,1528,1532,1737955799970,14459376121.75473,9437895.66500802,30
KRW-USDT,2025-01-27T04:30:00,2025-01-27T13:30:00,1529,1533,1527,1531,1737953999968,9223304154.44697,6029285.76697567,30
KRW-USDT,2025-01-27T04:00:00,2025-01-27T13:00:00,1523,1530,1522,1529,1737952199960,12956434479.266825,8491983.86330434,30
KRW-USDT,2025-01-27T03:30:00,2025-01-27T12:30:00,1523,1525,1522,1523,1737950399890,7346250648.47478,4820885.45003573,30
KRW-USDT,2025-01-27T03:00:00,2025-01-27T12:00:00,1525,1526,1522,1524,1737948599742,8108596209.546822,5319068.8306821,30
KRW-USDT,2025-01-27T02:30:00,2025-01-27T11:30:00,1525,1527,1523,1525,1737946799437,10417979485.331516,6831737.11524809,30
KRW-USDT,2025-01-27T02:00:00,2025-01-27T11:00:00,1524,1529,1521,1525,1737944999875,20075666308.844532,13161684.26941976,30
KRW-USDT,2025-01-27T01:30:00,2025-01-27T10:30:00,1524,1525,1521,1524,1737943199939,10668282386.306,7004512.23228445,30
KRW-USDT,2025-01-27T01:00:00,2025-01-27T10:00:00,1522,1524,1519,1524,1737941399939,15741120092.448507,10341384.10134716,30
KRW-USDT,2025-01-27T00:30:00,2025-01-27T09:30:00,1523,1525,1520,1522,1737939599299,21621100730.370132,14199261.1168557,30
KRW-USDT,2025-01-27T00:00:00,2025-01-27T09:00:00,1524,1533,1515,1522,1737937799438,24935571902.913307,16375731.61983081,30
KRW-USDT,2025-01-26T23:30:00,2025-01-27T08:30:00,1519,1524,1515,1524,1737935999744,21151212272.483173,13922026.37988356,30
KRW-USDT,2025-01-26T23:00:00,2025-01-27T08:00:00,1513,1524,1512,1519,1737934200014,19826365648.061306,13045791.22350962,30
KRW-USDT,2025-01-26T22:30:00,2025-01-27T07:30:00,1511,1513,1508,1513,1737932398319,4944827063.130286,3272696.67549023,30
KRW-USDT,2025-01-26T22:00:00,2025-01-27T07:00:00,1506,1511,1506,1511,1737930586544,5971622166.924651,3955309.78246959,30
KRW-USDT,2025-01-26T21:30:00,2025-01-27T06:30:00,1504,1507,1502,1507,1737928800019,5001318996.052625,3321959.42972123,30
KRW-USDT,2025-01-26T21:00:00,2025-01-27T06:00:00,1501,1505,1501,1504,1737926992129,2972521544.070301,1977461.59931362,30
KRW-USDT,2025-01-26T20:30:00,2025-01-27T05:30:00,1498,1502,1498,1502,1737925190675,743324147.8098235,495632.97116463,30
KRW-USDT,2025-01-26T20:00:00,2025-01-27T05:00:00,1498,1499,1497,1498,1737923374567,785307790.8064091,524109.80825824,30
KRW-USDT,2025-01-26T19:30:00,2025-01-27T04:30:00,1499,1500,1497,1498,1737921593951,525977565.21821976,351014.61048456,30
KRW-USDT,2025-01-26T19:00:00,2025-01-27T04:00:00,1499,1500,1498,1499,1737919781587,469756528.34405994,313406.56480225,30
KRW-USDT,2025-01-26T18:30:00,2025-01-27T03:30:00,1500,1500,1498,1499,1737917997914,480942332.51728815,320810.29057298,30
KRW-USDT,2025-01-26T18:00:00,2025-01-27T03:00:00,1502,1503,1499,1499,1737916159440,939784527.1123866,626274.51221017,30
KRW-USDT,2025-01-26T17:30:00,2025-01-27T02:30:00,1502,1503,1501,1502,1737914391446,763885513.1519253,508693.67617873,30
KRW-USDT,2025-01-26T17:00:00,2025-01-27T02:00:00,1502,1503,1501,1503,1737912594323,688058189.8702518,458214.92271211,30
KRW-USDT,2025-01-26T16:30:00,2025-01-27T01:30:00,1503,1503,1501,1502,1737910799753,631454162.6420554,420410.64589471,30
KRW-USDT,2025-01-26T16:00:00,2025-01-27T01:00:00,1502,1504,1501,1502,1737908991051,1628540640.2861965,1083688.72310735,30
KRW-USDT,2025-01-26T15:30:00,2025-01-27T00:30:00,1502,1503,1501,1503,1737907188442,2227952230.4945226,1483033.06855565,30
KRW-USDT,2025-01-26T15:00:00,2025-01-27T00:00:00,1502,1503,1501,1502,1737905397101,4448183095.564609,2961658.62658683,30
KRW-USDT,2025-01-26T14:30:00,2025-01-26T23:30:00,1503,1503,1501,1502,1737903595700,2306864191.2455835,1535784.12234157,30
KRW-USDT,2025-01-26T14:00:00,2025-01-26T23:00:00,1501,1503,1500,1503,1737901798676,3228296314.920959,2149246.82629929,30
KRW-USDT,2025-01-26T13:30:00,2025-01-26T22:30:00,1502,1502,1500,1501,1737899997506,1486942099.9650185,990360.94258439,30
KRW-USDT,2025-01-26T13:00:00,2025-01-26T22:00:00,1502,1502,1500,1502,1737898198688,3194092866.523722,2127707.2896274,30
KRW-USDT,2025-01-26T12:30:00,2025-01-26T21:30:00,1502,1503,1501,1502,1737896395335,3747508465.8432693,2494753.16331809,30
KRW-USDT,2025-01-26T12:00:00,2025-01-26T21:00:00,1501,1502,1500,1502,1737894598973,2335554413.102697,1555739.79400134,30
KRW-USDT,2025-01-26T11:30:00,2025-01-26T20:30:00,1501,1502,1500,1500,1737892795254,2090635077.159836,1393226.24855385,30
KRW-USDT,2025-01-26T11:00:00,2025-01-26T20:00:00,1503,1503,1500,1502,1737890999610,1720722812.5908542,1145664.64613118,30
KRW-USDT,2025-01-26T10:30:00,2025-01-26T19:30:00,1503,1504,1502,1503,1737889198569,3124857399.120152,2078757.21045128,30
KRW-USDT,2025-01-26T10:00:00,2025-01-26T19:00:00,1503,1503,1501,1503,1737887399593,4145307220.4001665,2758979.32304623,30
KRW-USDT,2025-01-26T09:30:00,2025-01-26T18:30:00,1500,1504,1499,1503,1737885599174,4821382896.308829,3210681.54981371,30
KRW-USDT,2025-01-26T09:00:00,2025-01-26T18:00:00,1500,1501,1498,1500,1737883799440,2420269369.6476493,1613858.47505568,30
KRW-USDT,2025-01-26T08:30:00,2025-01-26T17:30:00,1499,1500,1498,1500,1737881999911,2188387187.398113,1459832.3643715,30
KRW-USDT,2025-01-26T08:00:00,2025-01-26T17:00:00,1498,1499,1497,1499,1737880199636,1868140378.5729709,1247104.96612781,30
KRW-USDT,2025-01-26T07:30:00,2025-01-26T16:30:00,1497,1499,1497,1498,1737878394923,2101682119.7982163,1402972.32369155,30
KRW-USDT,2025-01-26T07:00:00,2025-01-26T16:00:00,1498,1499,1496,1498,1737876598817,1432083489.3439517,956345.10179288,30
KRW-USDT,2025-01-26T06:30:00,2025-01-26T15:30:00,1497,1499,1497,1498,1737874797211,974917724.2822617,650714.35794009,30
KRW-USDT,2025-01-26T06:00:00,2025-01-26T15:00:00,1497,1499,1497,1498,1737872999576,2754548374.4082766,1838609.82382769,30
KRW-USDT,2025-01-26T05:30:00,2025-01-26T14:30:00,1497,1499,1497,1498,1737871198874,3572565310.848558,2384683.17296422,30
KRW-USDT,2025-01-26T05:00:00,2025-01-26T14:00:00,1497,1498,1496,1497,1737869399799,2617017532.2965226,1747580.9028551,30
KRW-USDT,2025-01-26T04:30:00,2025-01-26T13:30:00,1495,1497,1495,1496,1737867599249,2655666588.9542727,1774831.3920124,30
KRW-USDT,2025-01-26T04:00:00,2025-01-26T13:00:00,1498,1499,1495,1496,1737865798389,3703760473.043791,2473771.03878721,30
KRW-USDT,2025-01-26T03:30:00,2025-01-26T12:30:00,1499,1500,1496,1498,1737863997939,3456709396.7602906,2307629.18117316,30
KRW-USDT,2025-01-26T03:00:00,2025-01-26T12:00:00,1502,1503,1499,1499,1737862192262,6458405358.563625,4303504.61955577,30
KRW-USDT,2025-01-26T02:30:00,2025-01-26T11:30:00,1503,1504,1502,1502,1737860399705,2594935206.557182,1726827.70702805,30
KRW-USDT,2025-01-26T02:00:00,2025-01-26T11:00:00,1502,1504,1502,1503,1737858593227,2393626520.302389,1592799.13385971,30
KRW-USDT,2025-01-26T01:30:00,2025-01-26T10:30:00,1501,1503,1500,1502,1737856799931,4381631006.766604,2917624.02236559,30
KRW-USDT,2025-01-26T01:00:00,2025-01-26T10:00:00,1501,1503,1500,1502,1737854999260,4851849449.953758,3231438.51957565,30
KRW-USDT,2025-01-26T00:30:00,2025-01-26T09:30:00,1503,1503,1501,1501,1737853199931,5855736894.649198,3898971.07646068,30
KRW-USDT,2025-01-26T00:00:00,2025-01-26T09:00:00,1502,1503,1500,1503,1737851399660,3074877384.912709,2047378.92149674,30
KRW-USDT,2025-01-25T23:30:00,2025-01-26T08:30:00,1497,1502,1497,1501,1737849599441,2760683391.0239334,1840613.73487201,30
KRW-USDT,2025-01-25T23:00:00,2025-01-26T08:00:00,1497,1498,1495,1498,1737847792051,1265557705.1854024,845327.00407991,30
KRW-USDT,2025-01-25T22:30:00,2025-01-26T07:30:00,1496,1497,1495,1496,1737845999783,1108189005.0329516,740645.71624593,30
KRW-USDT,2025-01-25T22:00:00,2025-01-26T07:00:00,1497,1498,1495,1496,1737844198962,737207155.4762406,492727.30448238,30
KRW-USDT,2025-01-25T21:30:00,2025-01-26T06:30:00,1497,1499,1497,1498,1737842397706,804913804.4768434,537373.1032153,30
KRW-USDT,2025-01-25T21:00:00,2025-01-26T06:00:00,1497,1498,1496,1497,1737840599891,774569829.9978954,517299.5959992,30
KRW-USDT,2025-01-25T20:30:00,2025-01-26T05:30:00,1496,1498,1495,1497,1737838800002,1040907852.196133,695684.30777769,30
KRW-USDT,2025-01-25T20:00:00,2025-01-26T05:00:00,1496,1498,1496,1496,1737836998090,1211881862.3629973,809670.33671352,30
KRW-USDT,2025-01-25T19:30:00,2025-01-26T04:30:00,1497,1498,1496,1498,1737835199525,1204718396.4321258,804722.59410227,30
KRW-USDT,2025-01-25T19:00:00,2025-01-26T04:00:00,1498,1499,1496,1497,1737833386617,1949126034.4777472,1301943.58403902,30
KRW-USDT,2025-01-25T18:30:00,2025-01-26T03:30:00,1498,1499,1497,1499,1737831581294,757592754.257674,505659.03985259,30
KRW-USDT,2025-01-25T18:00:00,2025-01-26T03:00:00,1499,1500,1498,1498,1737829782545,1631510523.3192863,1088403.98400253,30
KRW-USDT,2025-01-25T17:30:00,2025-01-26T02:30:00,1501,1502,1499,1500,1737827994832,1453686933.2126446,968704.34285134,30
