market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-VANA,2025-01-27T13:30:00,2025-01-27T22:30:00,14080,14190,14050,14160,1737984806606,156535858.7988833,11081.66837313,30
KRW-VANA,2025-01-27T13:00:00,2025-01-27T22:00:00,13670,14220,13560,14080,1737984599511,1021455661.9348286,73369.19691363,30
KRW-VANA,2025-01-27T12:30:00,2025-01-27T21:30:00,13110,13790,13080,13670,1737982795533,825999945.896059,61139.29132775,30
KRW-VANA,2025-01-27T12:00:00,2025-01-27T21:00:00,12970,13230,12970,13140,1737980997350,454108772.9244615,34556.43471347,30
KRW-VANA,2025-01-27T11:30:00,2025-01-27T20:30:00,12920,13030,12880,12950,1737979196104,221017194.2364418,17100.56145357,30
KRW-VANA,2025-01-27T11:00:00,2025-01-27T20:00:00,12850,13050,12850,12920,1737977399772,273643632.7308509,21170.17596751,30
KRW-VANA,2025-01-27T10:30:00,2025-01-27T19:30:00,12920,12940,12800,12850,1737975597154,312906080.3006686,24324.03778488,30
KRW-VANA,2025-01-27T10:00:00,2025-01-27T19:00:00,13050,13050,12890,12930,1737973799544,218643027.4192875,16864.37181991,30
KRW-VANA,2025-01-27T09:30:00,2025-01-27T18:30:00,12990,13080,12910,13050,1737971973002,292682109.7438218,22527.75380816,30
KRW-VANA,2025-01-27T09:00:00,2025-01-27T18:00:00,12940,13160,12900,12990,1737970197531,239419112.2797803,18392.4766956,30
KRW-VANA,2025-01-27T08:30:00,2025-01-27T17:30:00,13000,13000,12790,12960,1737968394073,500865318.4933416,38961.71280075,30
KRW-VANA,2025-01-27T08:00:00,2025-01-27T17:00:00,13000,13060,12820,13010,1737966591477,572083254.7252239,44302.71922402,30
KRW-VANA,2025-01-27T07:30:00,2025-01-27T16:30:00,12790,13160,12790,13020,1737964792937,919968125.4904566,70876.27005004,30
KRW-VANA,2025-01-27T07:00:00,2025-01-27T16:00:00,13300,13330,12790,12790,1737962999472,1572983485.1046984,120387.79525257,30
KRW-VANA,2025-01-27T06:30:00,2025-01-27T15:30:00,13380,13390,13200,13300,1737961196088,698303842.0031964,52471.06782928,30
KRW-VANA,2025-01-27T06:00:00,2025-01-27T15:00:00,13510,13520,13360,13380,1737959393108,480275715.8748737,35779.16831423,30
KRW-VANA,2025-01-27T05:30:00,2025-01-27T14:30:00,13590,13600,13400,13500,1737957586538,656755646.4665787,48757.21095929,30
KRW-VANA,2025-01-27T05:00:00,2025-01-27T14:00:00,13560,13660,13530,13580,1737955783051,329037907.0473755,24237.44399391,30
KRW-VANA,2025-01-27T04:30:00,2025-01-27T13:30:00,13640,13720,13550,13550,1737953999575,385847112.6118671,28334.99052439,30
KRW-VANA,2025-01-27T04:00:00,2025-01-27T13:00:00,13780,13790,13590,13630,1737952199940,341987617.5830687,24984.36006453,30
KRW-VANA,2025-01-27T03:30:00,2025-01-27T12:30:00,13750,13790,13710,13790,1737950392685,188413620.2799251,13706.59992041,30
KRW-VANA,2025-01-27T03:00:00,2025-01-27T12:00:00,13640,13830,13600,13740,1737948512924,233800593.5049356,17044.67620093,30
KRW-VANA,2025-01-27T02:30:00,2025-01-27T11:30:00,13650,13690,13590,13640,1737946790716,429292440.1463165,31509.21401887,30
KRW-VANA,2025-01-27T02:00:00,2025-01-27T11:00:00,13820,13820,13630,13650,1737944991846,604210760.363215,44129.97660184,30
KRW-VANA,2025-01-27T01:30:00,2025-01-27T10:30:00,13790,13900,13730,13830,1737943192529,332596320.3223839,24076.58056938,30
KRW-VANA,2025-01-27T01:00:00,2025-01-27T10:00:00,13960,14000,13680,13790,1737941391525,839761635.7004641,60822.47100411,30
KRW-VANA,2025-01-27T00:30:00,2025-01-27T09:30:00,14100,14100,13890,13950,1737939587698,820243272.2714508,58669.93478576,30
KRW-VANA,2025-01-27T00:00:00,2025-01-27T09:00:00,14390,14410,13790,14100,1737937799509,2524243373.801237,178870.4380688,30
KRW-VANA,2025-01-26T23:30:00,2025-01-27T08:30:00,14510,14540,14300,14380,1737935996675,707217972.0102175,49077.88196776,30
KRW-VANA,2025-01-26T23:00:00,2025-01-27T08:00:00,14670,14690,14500,14510,1737934190976,597224917.9805784,40949.97007256,30
KRW-VANA,2025-01-26T22:30:00,2025-01-27T07:30:00,14690,14780,14640,14720,1737932394577,114325953.6143207,7779.88827897,30
KRW-VANA,2025-01-26T22:00:00,2025-01-27T07:00:00,14720,14750,14620,14690,1737930558425,362203088.3869134,24678.00624192,30
KRW-VANA,2025-01-26T21:30:00,2025-01-27T06:30:00,14800,14820,14710,14720,1737928799653,355035294.6815266,24048.1255956,30
KRW-VANA,2025-01-26T21:00:00,2025-01-27T06:00:00,14870,14880,14770,14800,1737926999439,251733312.0804628,16993.11179979,30
KRW-VANA,2025-01-26T20:30:00,2025-01-27T05:30:00,14950,14950,14860,14870,1737925164084,136483953.3670366,9169.0935544,30
KRW-VANA,2025-01-26T20:00:00,2025-01-27T05:00:00,15010,15050,14910,14950,1737923392729,70490127.1323759,4710.76272621,30
KRW-VANA,2025-01-26T19:30:00,2025-01-27T04:30:00,14940,15020,14940,14990,1737921371886,45111869.2822524,3012.34279568,30
KRW-VANA,2025-01-26T19:00:00,2025-01-27T04:00:00,15070,15070,14920,14920,1737919563631,17529761.150697,1170.08834464,30
KRW-VANA,2025-01-26T18:30:00,2025-01-27T03:30:00,15050,15090,15010,15070,1737917892639,33121703.531355,2200.87544599,30
KRW-VANA,2025-01-26T18:00:00,2025-01-27T03:00:00,15080,15120,15000,15050,1737916172067,74339402.6646329,4939.74962359,30
KRW-VANA,2025-01-26T17:30:00,2025-01-27T02:30:00,14950,15160,14950,15100,1737914365720,190354328.7216172,12629.84589671,30
KRW-VANA,2025-01-26T17:00:00,2025-01-27T02:00:00,14930,15000,14910,14930,1737912590665,118732364.7638344,7934.31144405,30
KRW-VANA,2025-01-26T16:30:00,2025-01-27T01:30:00,14890,14950,14870,14910,1737910699338,47939733.9612893,3212.58073483,30
KRW-VANA,2025-01-26T16:00:00,2025-01-27T01:00:00,14920,14920,14840,14840,1737908965882,145161538.1280375,9752.29671422,30
KRW-VANA,2025-01-26T15:30:00,2025-01-27T00:30:00,14910,14960,14880,14920,1737907145480,104754637.8687278,7026.4150423,30
KRW-VANA,2025-01-26T15:00:00,2025-01-27T00:00:00,14940,14990,14900,14900,1737905399307,160328191.8793471,10719.66164318,30
KRW-VANA,2025-01-26T14:30:00,2025-01-26T23:30:00,14870,15010,14870,14940,1737903579539,298647390.9985934,19994.30950476,30
KRW-VANA,2025-01-26T14:00:00,2025-01-26T23:00:00,14910,14910,14860,14860,1737901780811,133690796.1417357,8986.0050318,30
KRW-VANA,2025-01-26T13:30:00,2025-01-26T22:30:00,14920,15010,14860,14910,1737899997982,95294950.1178789,6388.89733334,30
KRW-VANA,2025-01-26T13:00:00,2025-01-26T22:00:00,14930,15140,14820,14920,1737898135510,917527837.1693764,61318.59153713,30
KRW-VANA,2025-01-26T12:30:00,2025-01-26T21:30:00,14960,14960,14850,14930,1737896399971,265331776.3409714,17815.05750079,30
KRW-VANA,2025-01-26T12:00:00,2025-01-26T21:00:00,14970,15010,14840,14960,1737894590663,268317985.5553256,18011.4453854,30
KRW-VANA,2025-01-26T11:30:00,2025-01-26T20:30:00,14830,15040,14830,14980,1737892784510,361562657.748632,24178.51049562,30
KRW-VANA,2025-01-26T11:00:00,2025-01-26T20:00:00,14780,14860,14770,14830,1737890876197,275387741.3028193,18578.0302702,30
KRW-VANA,2025-01-26T10:30:00,2025-01-26T19:30:00,14810,14810,14760,14770,1737889149411,132223630.612968,8945.74065105,30
KRW-VANA,2025-01-26T10:00:00,2025-01-26T19:00:00,14780,14860,14760,14800,1737887396966,94598727.5663045,6384.27159622,30
KRW-VANA,2025-01-26T09:30:00,2025-01-26T18:30:00,14820,14830,14740,14780,1737885594233,226141838.3474781,15319.60025436,30
KRW-VANA,2025-01-26T09:00:00,2025-01-26T18:00:00,14820,14890,14750,14820,1737883789805,233364267.2259073,15767.91230746,30
KRW-VANA,2025-01-26T08:30:00,2025-01-26T17:30:00,14810,14870,14790,14810,1737881866461,89730846.8748505,6056.78170255,30
KRW-VANA,2025-01-26T08:00:00,2025-01-26T17:00:00,14840,14940,14790,14810,1737880174282,215151899.2786799,14477.76419864,30
KRW-VANA,2025-01-26T07:30:00,2025-01-26T16:30:00,14810,14840,14760,14840,1737878396813,295616140.3633601,19975.79718948,30
KRW-VANA,2025-01-26T07:00:00,2025-01-26T16:00:00,14850,14880,14810,14810,1737876596222,314994747.930411,21238.42894945,30
KRW-VANA,2025-01-26T06:30:00,2025-01-26T15:30:00,14840,14860,14820,14850,1737874781691,133433748.081368,8993.60954689,30
KRW-VANA,2025-01-26T06:00:00,2025-01-26T15:00:00,14870,14880,14800,14840,1737872998474,200177242.9730268,13492.27968054,30
KRW-VANA,2025-01-26T05:30:00,2025-01-26T14:30:00,14940,14960,14830,14830,1737871197646,201075142.370087,13515.57139915,30
KRW-VANA,2025-01-26T05:00:00,2025-01-26T14:00:00,14870,14930,14860,14930,1737869399756,212150725.3871995,14255.21549035,30
KRW-VANA,2025-01-26T04:30:00,2025-01-26T13:30:00,15020,15030,14860,14870,1737867573104,170077908.9120039,11387.46663624,30
KRW-VANA,2025-01-26T04:00:00,2025-01-26T13:00:00,14920,15080,14810,15020,1737865794435,205032315.0309754,13725.10201423,30
KRW-VANA,2025-01-26T03:30:00,2025-01-26T12:30:00,14840,14940,14800,14920,1737863932454,272390804.3349464,18339.82718896,30
KRW-VANA,2025-01-26T03:00:00,2025-01-26T12:00:00,14890,14940,14810,14860,1737862186076,328093795.3468738,22070.94523914,30
KRW-VANA,2025-01-26T02:30:00,2025-01-26T11:30:00,14900,14960,14830,14840,1737860390792,255809543.0740724,17197.37620895,30
KRW-VANA,2025-01-26T02:00:00,2025-01-26T11:00:00,14980,14980,14850,14920,1737858599239,280709977.5381757,18846.94472583,30
KRW-VANA,2025-01-26T01:30:00,2025-01-26T10:30:00,15130,15190,14960,14980,1737856782528,341494388.0191201,22678.81371731,30
KRW-VANA,2025-01-26T01:00:00,2025-01-26T10:00:00,14930,15130,14930,15130,1737854994368,374056869.3181273,24864.56072204,30
KRW-VANA,2025-01-26T00:30:00,2025-01-26T09:30:00,14920,15030,14900,14930,1737853196844,487412411.0860533,32567.77345768,30
KRW-VANA,2025-01-26T00:00:00,2025-01-26T09:00:00,14960,14960,14800,14910,1737851388481,445541950.3448681,29962.36050041,30
KRW-VANA,2025-01-25T23:30:00,2025-01-26T08:30:00,15010,15010,14920,14960,1737849591025,201543545.1797325,13483.04996988,30
KRW-VANA,2025-01-25T23:00:00,2025-01-26T08:00:00,14960,15010,14920,15010,1737847794543,153639393.683615,10270.55211626,30
KRW-VANA,2025-01-25T22:30:00,2025-01-26T07:30:00,15000,15010,14930,14970,1737845963372,130189810.7797005,8691.30330018,30
KRW-VANA,2025-01-25T22:00:00,2025-01-26T07:00:00,14960,15010,14950,15000,1737844199043,84877298.2230397,5668.8791867,30
KRW-VANA,2025-01-25T21:30:00,2025-01-26T06:30:00,14910,15000,14890,14960,1737842374894,98296093.2589364,6581.28708053,30
KRW-VANA,2025-01-25T21:00:00,2025-01-26T06:00:00,14900,14920,14860,14900,1737840565553,138215640.6350937,9282.22776533,30
KRW-VANA,2025-01-25T20:30:00,2025-01-26T05:30:00,15050,15080,14880,14900,1737838771580,51345292.5620323,3428.06422072,30
KRW-VANA,2025-01-25T20:00:00,2025-01-26T05:00:00,15020,15070,14970,15050,1737836994627,91258823.6502025,6067.84553952,30
KRW-VANA,2025-01-25T19:30:00,2025-01-26T04:30:00,14950,15020,14940,15020,1737835191217,44150393.6592254,2950.61182809,30
KRW-VANA,2025-01-25T19:00:00,2025-01-26T04:00:00,15040,15040,14940,14950,1737833320550,21185064.6078045,1412.96053027,30
KRW-VANA,2025-01-25T18:30:00,2025-01-26T03:30:00,14980,15060,14950,14980,1737831440846,23159203.2275267,1543.45271588,30
KRW-VANA,2025-01-25T18:00:00,2025-01-26T03:00:00,14970,15040,14940,15000,1737829751458,47505625.9500121,3173.38526334,30
KRW-VANA,2025-01-25T17:30:00,2025-01-26T02:30:00,14870,14950,14850,14940,1737827915568,38780451.7057836,2605.88789207,30
KRW-VANA,2025-01-25T17:00:00,2025-01-26T02:00:00,14930,14960,14840,14870,1737826104307,92919122.5354803,6242.18026216,30
KRW-VANA,2025-01-25T16:30:00,2025-01-26T01:30:00,14920,15000,14880,15000,1737824388067,102648265.9593709,6878.94954264,30
KRW-VANA,2025-01-25T16:00:00,2025-01-26T01:00:00,15000,15010,14910,14930,1737822590696,147406092.419883,9860.7053045,30
KRW-VANA,2025-01-25T15:30:00,2025-01-26T00:30:00,14980,15080,14950,15010,1737820798665,217046903.0723749,14462.6386273,30
KRW-VANA,2025-01-25T15:00:00,2025-01-26T00:00:00,15010,15100,14950,14980,1737818996165,201163548.9656455,13378.45628698,30
