market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-VET,2025-01-27T13:30:00,2025-01-27T22:30:00,67.2,67.43,67.15,67.42,1737984812550,2429276.59751638,36114.40811327,30
KRW-VET,2025-01-27T13:00:00,2025-01-27T22:00:00,67.41,67.9,66.83,67.04,1737984571780,279735013.9684152,4156158.4978168,30
KRW-VET,2025-01-27T12:30:00,2025-01-27T21:30:00,65.23,67.94,65.23,67.39,1737982786602,430544770.499197,6473086.30988394,30
KRW-VET,2025-01-27T12:00:00,2025-01-27T21:00:00,65.34,65.89,65.15,65.35,1737980996212,243485252.6215029,3722648.49333435,30
KRW-VET,2025-01-27T11:30:00,2025-01-27T20:30:00,65.91,66.05,65.34,65.34,1737979197830,214821276.530711,3273857.45646784,30
KRW-VET,2025-01-27T11:00:00,2025-01-27T20:00:00,65.37,66.11,65.32,65.91,1737977366910,251486020.2416032,3833095.83317464,30
KRW-VET,2025-01-27T10:30:00,2025-01-27T19:30:00,66.34,66.34,65.2,65.37,1737975599767,422224855.6733767,6439605.18941468,30
KRW-VET,2025-01-27T10:00:00,2025-01-27T19:00:00,66.55,66.7,66.09,66.34,1737973799790,121038315.0839059,1822134.37974444,30
KRW-VET,2025-01-27T09:30:00,2025-01-27T18:30:00,66.11,66.76,66.04,66.55,1737971947473,105663364.57384764,1588809.13302445,30
KRW-VET,2025-01-27T09:00:00,2025-01-27T18:00:00,65.68,67.03,65.3,66.1,1737970191801,348816329.96112263,5268757.4366592,30
KRW-VET,2025-01-27T08:30:00,2025-01-27T17:30:00,66.3,66.34,65.19,65.67,1737968371560,650911912.0075867,9930618.5933312,30
KRW-VET,2025-01-27T08:00:00,2025-01-27T17:00:00,66.73,66.73,66,66.3,1737966591524,288296876.0000917,4346234.5911383,30
KRW-VET,2025-01-27T07:30:00,2025-01-27T16:30:00,64.86,66.92,64.81,66.69,1737964792885,765939864.1858846,11600003.55954502,30
KRW-VET,2025-01-27T07:00:00,2025-01-27T16:00:00,66.12,66.48,64.81,64.81,1737962999232,734211571.8435869,11192846.58035506,30
KRW-VET,2025-01-27T06:30:00,2025-01-27T15:30:00,66.95,66.95,66,66.06,1737961185806,478184795.78510964,7206411.85171809,30
KRW-VET,2025-01-27T06:00:00,2025-01-27T15:00:00,67.03,67.3,66.7,66.99,1737959394538,173488052.01445225,2588417.13526181,30
KRW-VET,2025-01-27T05:30:00,2025-01-27T14:30:00,67.01,67.04,66.68,67.04,1737957592303,395160316.8525372,5910183.76687407,30
KRW-VET,2025-01-27T05:00:00,2025-01-27T14:00:00,67.09,67.25,67,67,1737955790245,216774947.3814894,3232892.03077417,30
KRW-VET,2025-01-27T04:30:00,2025-01-27T13:30:00,67.38,67.65,67.01,67.01,1737953968224,189685087.97026634,2821783.58902584,30
KRW-VET,2025-01-27T04:00:00,2025-01-27T13:00:00,67.72,67.72,67.3,67.38,1737952189746,140446191.34491953,2080602.82535252,30
KRW-VET,2025-01-27T03:30:00,2025-01-27T12:30:00,67.96,67.98,67.48,67.72,1737950391438,153279465.52153605,2263300.3207787,30
KRW-VET,2025-01-27T03:00:00,2025-01-27T12:00:00,67.29,68.28,67.19,67.96,1737948578581,220444490.9183025,3245820.40543717,30
KRW-VET,2025-01-27T02:30:00,2025-01-27T11:30:00,67.37,67.37,67,67.29,1737946773411,319870669.4062353,4764133.53444051,30
KRW-VET,2025-01-27T02:00:00,2025-01-27T11:00:00,67.5,67.81,67.15,67.46,1737944972536,359630770.1243676,5331324.09998119,30
KRW-VET,2025-01-27T01:30:00,2025-01-27T10:30:00,67.62,68.07,67.5,67.5,1737943194037,310302518.43199354,4576924.14381153,30
KRW-VET,2025-01-27T01:00:00,2025-01-27T10:00:00,68.2,68.27,67.33,67.63,1737941399211,746241533.0494761,11004960.71320499,30
KRW-VET,2025-01-27T00:30:00,2025-01-27T09:30:00,68.88,68.91,68.12,68.2,1737939583297,367959982.73730814,5372877.0932271,30
KRW-VET,2025-01-27T00:00:00,2025-01-27T09:00:00,68.99,69.62,68.41,68.88,1737937794321,547945706.8823162,7962589.58198239,30
KRW-VET,2025-01-26T23:30:00,2025-01-27T08:30:00,69.38,69.41,68.92,69.09,1737935999187,541784094.4320533,7835310.08032354,30
KRW-VET,2025-01-26T23:00:00,2025-01-27T08:00:00,70.08,70.08,69.15,69.45,1737934194993,576140845.2461677,8278967.19290368,30
KRW-VET,2025-01-26T22:30:00,2025-01-27T07:30:00,70.17,70.58,69.92,70.07,1737932377225,79097569.38931331,1125442.49156547,30
KRW-VET,2025-01-26T22:00:00,2025-01-27T07:00:00,70.02,70.19,69.81,70.13,1737930576977,400126429.42072666,5721316.26626999,30
KRW-VET,2025-01-26T21:30:00,2025-01-27T06:30:00,70.38,70.4,70.01,70.03,1737928797405,130686491.36424054,1863380.46964498,30
KRW-VET,2025-01-26T21:00:00,2025-01-27T06:00:00,70.39,70.55,70.2,70.38,1737926925941,127602836.50653149,1815902.44756877,30
KRW-VET,2025-01-26T20:30:00,2025-01-27T05:30:00,70.71,70.84,70.33,70.39,1737925147367,152501700.19450462,2162391.42102937,30
KRW-VET,2025-01-26T20:00:00,2025-01-27T05:00:00,70.95,70.95,70.71,70.74,1737923389213,52410948.94484198,739946.54662046,30
KRW-VET,2025-01-26T19:30:00,2025-01-27T04:30:00,71.04,71.25,70.95,70.95,1737921589577,29722259.69911446,418461.8829386,30
KRW-VET,2025-01-26T19:00:00,2025-01-27T04:00:00,71.47,71.47,71.01,71.04,1737919698087,28587629.71295627,401819.75975338,30
KRW-VET,2025-01-26T18:30:00,2025-01-27T03:30:00,71.55,71.65,71.25,71.25,1737917968027,20481999.95187423,286837.70627822,30
KRW-VET,2025-01-26T18:00:00,2025-01-27T03:00:00,71,71.7,70.89,71.55,1737916088223,77868045.27795707,1093783.75374387,30
KRW-VET,2025-01-26T17:30:00,2025-01-27T02:30:00,70.72,71.09,70.57,71,1737914156785,34459887.50831196,486365.38642639,30
KRW-VET,2025-01-26T17:00:00,2025-01-27T02:00:00,71.17,71.22,70.72,70.78,1737912596309,44456271.56098486,626681.31642149,30
KRW-VET,2025-01-26T16:30:00,2025-01-27T01:30:00,71,71.32,70.86,71.17,1737910797182,34989417.7042448,491465.98872102,30
KRW-VET,2025-01-26T16:00:00,2025-01-27T01:00:00,71.06,71.07,70.5,70.85,1737908966302,317007263.603396,4474420.13029925,30
KRW-VET,2025-01-26T15:30:00,2025-01-27T00:30:00,71.09,71.42,71.06,71.07,1737907199748,126724727.14121737,1780527.492213,30
KRW-VET,2025-01-26T15:00:00,2025-01-27T00:00:00,71.21,71.42,71.06,71.1,1737905371951,89406739.8430863,1255272.91562983,30
KRW-VET,2025-01-26T14:30:00,2025-01-26T23:30:00,71.05,71.42,71.05,71.21,1737903571995,91629345.76237229,1287365.02114082,30
KRW-VET,2025-01-26T14:00:00,2025-01-26T23:00:00,71.52,71.52,71.04,71.05,1737901787156,170937969.34332016,2401424.9740987,30
KRW-VET,2025-01-26T13:30:00,2025-01-26T22:30:00,71.61,71.7,71.31,71.52,1737899883471,79392476.66986246,1110674.57905785,30
KRW-VET,2025-01-26T13:00:00,2025-01-26T22:00:00,71.59,71.91,71.31,71.62,1737898143686,237058004.42762896,3310090.82044208,30
KRW-VET,2025-01-26T12:30:00,2025-01-26T21:30:00,71.41,71.59,71.3,71.58,1737896398591,203811859.78599423,2854221.83423433,30
KRW-VET,2025-01-26T12:00:00,2025-01-26T21:00:00,71.39,71.49,71.21,71.49,1737894594705,63630224.04401918,892118.10753684,30
KRW-VET,2025-01-26T11:30:00,2025-01-26T20:30:00,71.2,71.6,71.2,71.39,1737892702142,110260374.71522465,1544161.1393518,30
KRW-VET,2025-01-26T11:00:00,2025-01-26T20:00:00,71.17,71.43,71.01,71.2,1737890963198,200062941.65021884,2812922.52341009,30
KRW-VET,2025-01-26T10:30:00,2025-01-26T19:30:00,71.37,71.41,71.06,71.19,1737889195374,110024003.09512842,1544856.84083028,30
KRW-VET,2025-01-26T10:00:00,2025-01-26T19:00:00,71.21,71.58,71.21,71.37,1737887389743,139238519.27096733,1949166.48516375,30
KRW-VET,2025-01-26T09:30:00,2025-01-26T18:30:00,71.43,71.45,71.12,71.36,1737885594682,193607022.51901734,2717305.73737399,30
KRW-VET,2025-01-26T09:00:00,2025-01-26T18:00:00,71.92,71.94,71.34,71.41,1737883791748,220047680.73329177,3071542.21221353,30
KRW-VET,2025-01-26T08:30:00,2025-01-26T17:30:00,71.96,72.14,71.81,71.92,1737881862939,105996633.3976687,1473982.13126038,30
KRW-VET,2025-01-26T08:00:00,2025-01-26T17:00:00,72.2,72.5,71.82,71.96,1737880091932,223700883.19537488,3098323.39234022,30
KRW-VET,2025-01-26T07:30:00,2025-01-26T16:30:00,72.01,72.33,71.7,72.2,1737878344952,86953654.90912195,1208900.7541066,30
KRW-VET,2025-01-26T07:00:00,2025-01-26T16:00:00,72.11,72.31,72,72.01,1737876589648,39196492.48139844,543361.60083773,30
KRW-VET,2025-01-26T06:30:00,2025-01-26T15:30:00,71.89,72.02,71.71,72.02,1737874783831,58073418.67673933,807998.43240014,30
KRW-VET,2025-01-26T06:00:00,2025-01-26T15:00:00,72.11,72.24,71.76,71.76,1737872991914,209665980.35419816,2912580.76239004,30
KRW-VET,2025-01-26T05:30:00,2025-01-26T14:30:00,72.18,72.4,72.09,72.09,1737871193884,167289688.02578452,2315014.92262336,30
KRW-VET,2025-01-26T05:00:00,2025-01-26T14:00:00,72.3,72.31,71.97,72.1,1737869338670,84062025.0181249,1165158.94375241,30
KRW-VET,2025-01-26T04:30:00,2025-01-26T13:30:00,72.47,72.51,72.17,72.35,1737867583784,90617728.37997375,1252332.25792632,30
KRW-VET,2025-01-26T04:00:00,2025-01-26T13:00:00,72.16,72.59,72.11,72.44,1737865776701,107963443.02182418,1492267.28597724,30
KRW-VET,2025-01-26T03:30:00,2025-01-26T12:30:00,72.16,72.31,71.96,72.29,1737863990219,69787619.8410131,967259.11644146,30
KRW-VET,2025-01-26T03:00:00,2025-01-26T12:00:00,71.85,72.24,71.85,71.9,1737862190554,85698122.81131569,1190003.31995284,30
KRW-VET,2025-01-26T02:30:00,2025-01-26T11:30:00,71.88,72.1,71.66,71.85,1737860383899,84104187.07604827,1171479.54151002,30
KRW-VET,2025-01-26T02:00:00,2025-01-26T11:00:00,71.62,71.87,71.51,71.8,1737858590915,227519301.8751681,3177783.3858516,30
KRW-VET,2025-01-26T01:30:00,2025-01-26T10:30:00,72.19,72.19,71.62,71.62,1737856799234,249272047.1739984,3469112.12298289,30
