market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-VTHO,2025-01-27T13:30:00,2025-01-27T22:30:00,7.618,7.638,7.615,7.624,1737984798491,64670605.04035264,8481826.71009076,30
KRW-VTHO,2025-01-27T13:00:00,2025-01-27T22:00:00,7.686,7.725,7.607,7.618,1737984592764,951622173.1904176,124174155.18864115,30
KRW-VTHO,2025-01-27T12:30:00,2025-01-27T21:30:00,7.669,7.8,7.634,7.685,1737982798177,1156923634.5623417,149784285.64795557,30
KRW-VTHO,2025-01-27T12:00:00,2025-01-27T21:00:00,7.722,7.819,7.653,7.67,1737980998132,1385292801.0127063,178785328.34570494,30
KRW-VTHO,2025-01-27T11:30:00,2025-01-27T20:30:00,7.686,7.816,7.686,7.722,1737979194930,1662955591.0520408,214679752.47764224,30
KRW-VTHO,2025-01-27T11:00:00,2025-01-27T20:00:00,7.524,7.783,7.524,7.689,1737977398778,2115795841.6794565,274706995.2634121,30
KRW-VTHO,2025-01-27T10:30:00,2025-01-27T19:30:00,7.56,7.589,7.473,7.524,1737975597516,971309697.7549272,128901727.55973952,30
KRW-VTHO,2025-01-27T10:00:00,2025-01-27T19:00:00,7.419,7.578,7.419,7.548,1737973799690,752069067.4824712,100286229.80607992,30
KRW-VTHO,2025-01-27T09:30:00,2025-01-27T18:30:00,7.369,7.446,7.351,7.42,1737971999042,359495439.6548418,48562693.02494395,30
KRW-VTHO,2025-01-27T09:00:00,2025-01-27T18:00:00,7.387,7.454,7.326,7.369,1737970199966,532779057.4020726,71996203.04010844,30
KRW-VTHO,2025-01-27T08:30:00,2025-01-27T17:30:00,7.392,7.392,7.271,7.382,1737968396814,1021242961.063578,139595348.05201718,30
KRW-VTHO,2025-01-27T08:00:00,2025-01-27T17:00:00,7.452,7.465,7.326,7.392,1737966597333,1014918829.9965369,137568201.96928304,30
KRW-VTHO,2025-01-27T07:30:00,2025-01-27T16:30:00,7.293,7.488,7.27,7.45,1737964796216,1687764391.8869033,227571920.44765335,30
KRW-VTHO,2025-01-27T07:00:00,2025-01-27T16:00:00,7.418,7.519,7.293,7.301,1737962999931,1572345406.3764377,212305378.5896756,30
KRW-VTHO,2025-01-27T06:30:00,2025-01-27T15:30:00,7.444,7.5,7.362,7.419,1737961196614,1708744605.6289842,230464173.4926715,30
KRW-VTHO,2025-01-27T06:00:00,2025-01-27T15:00:00,7.55,7.591,7.426,7.444,1737959398934,1611159341.475252,214756430.06907523,30
KRW-VTHO,2025-01-27T05:30:00,2025-01-27T14:30:00,7.649,7.649,7.51,7.549,1737957599245,2024526118.309379,267862037.36655426,30
KRW-VTHO,2025-01-27T05:00:00,2025-01-27T14:00:00,7.624,7.65,7.616,7.649,1737955790920,661779742.1895504,86738010.90222634,30
KRW-VTHO,2025-01-27T04:30:00,2025-01-27T13:30:00,7.711,7.745,7.616,7.624,1737953996578,1216776265.7592835,158728731.22778773,30
KRW-VTHO,2025-01-27T04:00:00,2025-01-27T13:00:00,7.736,7.752,7.681,7.71,1737952190514,1235031842.6481678,160312160.86897847,30
KRW-VTHO,2025-01-27T03:30:00,2025-01-27T12:30:00,7.716,7.771,7.715,7.734,1737950389808,497665954.04661673,64305487.45842931,30
KRW-VTHO,2025-01-27T03:00:00,2025-01-27T12:00:00,7.706,7.761,7.702,7.717,1737948598738,838360057.06288,108529303.2237023,30
KRW-VTHO,2025-01-27T02:30:00,2025-01-27T11:30:00,7.737,7.764,7.7,7.706,1737946798945,1290227636.8464813,167152971.12380466,30
KRW-VTHO,2025-01-27T02:00:00,2025-01-27T11:00:00,7.765,7.783,7.702,7.737,1737944998851,1532092161.4973269,198118426.21503642,30
KRW-VTHO,2025-01-27T01:30:00,2025-01-27T10:30:00,7.809,7.833,7.737,7.748,1737943198597,1596718694.8412452,205074762.7079112,30
KRW-VTHO,2025-01-27T01:00:00,2025-01-27T10:00:00,7.953,7.963,7.696,7.81,1737941398782,6436594564.857463,823882042.9076087,30
KRW-VTHO,2025-01-27T00:30:00,2025-01-27T09:30:00,8.058,8.136,7.907,7.956,1737939600028,5743836632.4844675,717067937.4528744,30
KRW-VTHO,2025-01-27T00:00:00,2025-01-27T09:00:00,8.058,8.782,7.861,8.044,1737937797611,37454201078.24223,4505905440.508309,30
KRW-VTHO,2025-01-26T23:30:00,2025-01-27T08:30:00,8.02,8.08,7.953,8.058,1737935998396,1975217649.7443984,246443807.0535,30
KRW-VTHO,2025-01-26T23:00:00,2025-01-27T08:00:00,8.1,8.148,7.997,8.02,1737934192846,1569846770.0374432,195026855.4049425,30
KRW-VTHO,2025-01-26T22:30:00,2025-01-27T07:30:00,8.09,8.168,8.09,8.1,1737932399535,650997151.3917474,80145517.46737856,30
KRW-VTHO,2025-01-26T22:00:00,2025-01-27T07:00:00,8.103,8.123,8.084,8.105,1737930582850,710781792.3462622,87779862.75190932,30
KRW-VTHO,2025-01-26T21:30:00,2025-01-27T06:30:00,8.142,8.154,8.08,8.103,1737928799511,532346555.98485327,65607959.04961515,30
KRW-VTHO,2025-01-26T21:00:00,2025-01-27T06:00:00,8.059,8.175,8.058,8.147,1737926998763,646203426.3168086,79596229.51741989,30
KRW-VTHO,2025-01-26T20:30:00,2025-01-27T05:30:00,8.13,8.137,8.04,8.058,1737925199717,760696951.467337,94052499.37907375,30
KRW-VTHO,2025-01-26T20:00:00,2025-01-27T05:00:00,8.114,8.13,8.106,8.13,1737923396287,289565663.6096635,35686833.59007533,30
KRW-VTHO,2025-01-26T19:30:00,2025-01-27T04:30:00,8.13,8.137,8.1,8.114,1737921594243,534266833.85290563,65881140.86680815,30
KRW-VTHO,2025-01-26T19:00:00,2025-01-27T04:00:00,8.159,8.178,8.122,8.137,1737919769241,291564320.11797273,35787942.63671749,30
KRW-VTHO,2025-01-26T18:30:00,2025-01-27T03:30:00,8.154,8.177,8.146,8.159,1737917996623,142622169.8610968,17474532.92256997,30
KRW-VTHO,2025-01-26T18:00:00,2025-01-27T03:00:00,8.134,8.199,8.131,8.151,1737916199011,483639271.22632325,59227804.78372538,30
KRW-VTHO,2025-01-26T17:30:00,2025-01-27T02:30:00,8.109,8.134,8.08,8.134,1737914395964,490696065.08153254,60547154.77412634,30
KRW-VTHO,2025-01-26T17:00:00,2025-01-27T02:00:00,8.123,8.17,8.104,8.109,1737912599179,530378074.05551475,65266692.2518697,30
KRW-VTHO,2025-01-26T16:30:00,2025-01-27T01:30:00,8.122,8.151,8.112,8.123,1737910799544,583485361.4685342,71776007.65140295,30
KRW-VTHO,2025-01-26T16:00:00,2025-01-27T01:00:00,8.139,8.158,8.102,8.122,1737908999527,747280559.512712,91964309.68594322,30
KRW-VTHO,2025-01-26T15:30:00,2025-01-27T00:30:00,8.138,8.218,8.134,8.137,1737907199870,870530679.4495418,106633025.34496793,30
KRW-VTHO,2025-01-26T15:00:00,2025-01-27T00:00:00,8.211,8.219,8.124,8.132,1737905399785,1149106020.4690306,140711670.4489006,30
KRW-VTHO,2025-01-26T14:30:00,2025-01-26T23:30:00,8.083,8.243,8.082,8.211,1737903595029,1583532501.697842,193611222.01479253,30
KRW-VTHO,2025-01-26T14:00:00,2025-01-26T23:00:00,8.116,8.171,8.081,8.099,1737901794733,1039172976.2154758,127790604.83720063,30
KRW-VTHO,2025-01-26T13:30:00,2025-01-26T22:30:00,8.158,8.163,8.081,8.127,1737899998113,1586838151.9894977,195209663.4780252,30
KRW-VTHO,2025-01-26T13:00:00,2025-01-26T22:00:00,8.132,8.191,8.039,8.157,1737898199794,3526532189.0062213,435501933.8125544,30
KRW-VTHO,2025-01-26T12:30:00,2025-01-26T21:30:00,8.304,8.332,8.081,8.125,1737896399844,3923170973.120877,479158015.33231723,30
KRW-VTHO,2025-01-26T12:00:00,2025-01-26T21:00:00,8.286,8.44,8.234,8.336,1737894595186,5103576802.444761,611136134.5082179,30
