market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-W,2025-01-27T13:30:00,2025-01-27T22:30:00,320.1,322.1,320.1,322.1,1737984753950,18389.13054611,57.28713647,30
KRW-W,2025-01-27T13:00:00,2025-01-27T22:00:00,319.4,323.3,318.8,322,1737984497013,16386000.51198812,50957.07508615,30
KRW-W,2025-01-27T12:30:00,2025-01-27T21:30:00,311.6,322.3,311.6,320.5,1737982765695,19098063.50694253,60221.94948199,30
KRW-W,2025-01-27T12:00:00,2025-01-27T21:00:00,312.8,315.2,311.7,312,1737980995751,16229113.37594724,51868.04790328,30
KRW-W,2025-01-27T11:30:00,2025-01-27T20:30:00,314.4,315.5,312.6,312.8,1737979163024,9446285.89564896,30057.82542206,30
KRW-W,2025-01-27T11:00:00,2025-01-27T20:00:00,309.2,314.6,309.2,314.3,1737977328009,81457250.79452759,261404.3437704,30
KRW-W,2025-01-27T10:30:00,2025-01-27T19:30:00,311,311.5,308.1,309.2,1737975598339,180416772.93565676,582067.47633502,30
KRW-W,2025-01-27T10:00:00,2025-01-27T19:00:00,314.8,314.8,311,311.7,1737973741195,37745291.67471817,120897.52316205,30
KRW-W,2025-01-27T09:30:00,2025-01-27T18:30:00,312.2,314.6,311.5,314.3,1737971878450,51703196.82016207,165367.38677439,30
KRW-W,2025-01-27T09:00:00,2025-01-27T18:00:00,313.8,316.9,312.4,312.5,1737970196095,44599843.5839834,141856.94399882,30
KRW-W,2025-01-27T08:30:00,2025-01-27T17:30:00,315.4,315.4,311.3,314,1737968277974,40762216.84805607,130478.62888941,30
KRW-W,2025-01-27T08:00:00,2025-01-27T17:00:00,318.6,318.6,313.8,316.7,1737966537663,61089126.74298775,193059.96048852,30
KRW-W,2025-01-27T07:30:00,2025-01-27T16:30:00,310.8,322.6,310.7,318.6,1737964754553,81921553.9735784,259834.07905301,30
KRW-W,2025-01-27T07:00:00,2025-01-27T16:00:00,318.2,319.8,310.7,311.2,1737962998354,255304777.64801428,809392.40086166,30
KRW-W,2025-01-27T06:30:00,2025-01-27T15:30:00,319.3,319.8,315.9,318.1,1737961198719,47649017.88768057,149869.60978095,30
KRW-W,2025-01-27T06:00:00,2025-01-27T15:00:00,320.8,321.6,317.7,320.1,1737959347282,100330817.76072194,314128.93755549,30
KRW-W,2025-01-27T05:30:00,2025-01-27T14:30:00,322.3,322.3,318.7,320.4,1737957596007,62365036.01933677,194769.82447262,30
KRW-W,2025-01-27T05:00:00,2025-01-27T14:00:00,323.7,324.1,321.5,322.7,1737955717978,13579047.81511134,42007.36728781,30
KRW-W,2025-01-27T04:30:00,2025-01-27T13:30:00,325.9,326.5,323.2,323.2,1737953996461,81933696.60099293,252067.88803771,30
KRW-W,2025-01-27T04:00:00,2025-01-27T13:00:00,328.1,328.2,325.2,326.4,1737952126433,26300143.16318731,80574.60488852,30
KRW-W,2025-01-27T03:30:00,2025-01-27T12:30:00,328.7,328.7,327,328.1,1737950395523,15984133.38779722,48730.41032501,30
KRW-W,2025-01-27T03:00:00,2025-01-27T12:00:00,324.6,330.5,324.5,328.7,1737948538640,45539275.16591925,138990.07082078,30
KRW-W,2025-01-27T02:30:00,2025-01-27T11:30:00,323.4,325.1,321.6,323.4,1737946772042,49994327.62327854,154717.03442143,30
KRW-W,2025-01-27T02:00:00,2025-01-27T11:00:00,324.2,324.6,320.6,323.6,1737944978430,150522314.94650793,466495.67075856,30
KRW-W,2025-01-27T01:30:00,2025-01-27T10:30:00,324.9,327.6,324.4,324.5,1737943189662,30519464.12257415,93714.13103309,30
KRW-W,2025-01-27T01:00:00,2025-01-27T10:00:00,328.5,329.9,322.6,325.1,1737941386335,152738458.35449487,468050.53193814,30
