market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-WAVES,2025-01-27T13:30:00,2025-01-27T22:30:00,2270,2275,2270,2270,1737984714291,5098922.41319682,2245.98826659,30
KRW-WAVES,2025-01-27T13:00:00,2025-01-27T22:00:00,2285,2291,2263,2273,1737984594244,146691773.41996136,64395.65390971,30
KRW-WAVES,2025-01-27T12:30:00,2025-01-27T21:30:00,2219,2303,2217,2285,1737982788772,260602865.4106609,115254.16884028,30
KRW-WAVES,2025-01-27T12:00:00,2025-01-27T21:00:00,2221,2233,2214,2215,1737980956423,73829879.78158946,33183.49989165,30
KRW-WAVES,2025-01-27T11:30:00,2025-01-27T20:30:00,2231,2238,2220,2221,1737979158723,59166705.6113513,26541.18521565,30
KRW-WAVES,2025-01-27T11:00:00,2025-01-27T20:00:00,2206,2232,2205,2232,1737977379718,92852216.43198091,41886.47669015,30
KRW-WAVES,2025-01-27T10:30:00,2025-01-27T19:30:00,2237,2237,2199,2206,1737975591437,277058903.5176054,125224.64595619,30
KRW-WAVES,2025-01-27T10:00:00,2025-01-27T19:00:00,2245,2249,2232,2237,1737973774618,40735569.55311005,18215.8633005,30
KRW-WAVES,2025-01-27T09:30:00,2025-01-27T18:30:00,2224,2245,2219,2245,1737971953636,82074786.82777117,36841.38054184,30
KRW-WAVES,2025-01-27T09:00:00,2025-01-27T18:00:00,2219,2244,2219,2224,1737970195571,132915190.12130047,59537.82807744,30
KRW-WAVES,2025-01-27T08:30:00,2025-01-27T17:30:00,2238,2238,2204,2219,1737968397887,225124836.32577464,101593.15035038,30
KRW-WAVES,2025-01-27T08:00:00,2025-01-27T17:00:00,2254,2254,2228,2238,1737966598887,126226042.00637773,56385.31938038,30
KRW-WAVES,2025-01-27T07:30:00,2025-01-27T16:30:00,2213,2262,2200,2254,1737964776664,440101183.37166625,197213.46900276,30
KRW-WAVES,2025-01-27T07:00:00,2025-01-27T16:00:00,2261,2268,2210,2210,1737962999393,394455909.6118067,176626.68903581,30
KRW-WAVES,2025-01-27T06:30:00,2025-01-27T15:30:00,2272,2298,2227,2261,1737961175848,440271626.5997258,195400.17204651,30
KRW-WAVES,2025-01-27T06:00:00,2025-01-27T15:00:00,2286,2297,2266,2272,1737959388153,210152583.47642305,92310.2100035,30
KRW-WAVES,2025-01-27T05:30:00,2025-01-27T14:30:00,2310,2310,2265,2286,1737957590255,431476085.04660875,188672.33281464,30
KRW-WAVES,2025-01-27T05:00:00,2025-01-27T14:00:00,2310,2315,2303,2313,1737955770412,26144317.51133955,11327.40447573,30
KRW-WAVES,2025-01-27T04:30:00,2025-01-27T13:30:00,2305,2320,2301,2310,1737953998106,107348300.80625221,46498.31709677,30
KRW-WAVES,2025-01-27T04:00:00,2025-01-27T13:00:00,2314,2314,2299,2305,1737952195823,115964299.0470865,50364.150533,30
KRW-WAVES,2025-01-27T03:30:00,2025-01-27T12:30:00,2317,2317,2303,2308,1737950362277,79658450.30666785,34492.81142037,30
KRW-WAVES,2025-01-27T03:00:00,2025-01-27T12:00:00,2302,2325,2300,2319,1737948575650,109975613.33758715,47599.50109729,30
KRW-WAVES,2025-01-27T02:30:00,2025-01-27T11:30:00,2329,2348,2300,2302,1737946783127,356040519.26065516,153503.25835007,30
KRW-WAVES,2025-01-27T02:00:00,2025-01-27T11:00:00,2320,2330,2300,2323,1737944996910,560612370.6940553,242821.44582296,30
KRW-WAVES,2025-01-27T01:30:00,2025-01-27T10:30:00,2334,2336,2315,2327,1737943186588,167235193.54074487,71915.88530753,30
KRW-WAVES,2025-01-27T01:00:00,2025-01-27T10:00:00,2345,2354,2311,2334,1737941390016,275306566.40229297,118089.00093732,30
KRW-WAVES,2025-01-27T00:30:00,2025-01-27T09:30:00,2358,2378,2333,2350,1737939586889,221809239.1035837,94503.15372105,30
KRW-WAVES,2025-01-27T00:00:00,2025-01-27T09:00:00,2396,2399,2343,2356,1737937796274,478806178.1438198,202347.91256508,30
KRW-WAVES,2025-01-26T23:30:00,2025-01-27T08:30:00,2393,2401,2375,2388,1737935999167,257319412.90096393,107806.75668617,30
KRW-WAVES,2025-01-26T23:00:00,2025-01-27T08:00:00,2426,2426,2382,2401,1737934190697,234486887.6868267,97560.71140001,30
KRW-WAVES,2025-01-26T22:30:00,2025-01-27T07:30:00,2428,2440,2425,2426,1737932340448,55467362.47557659,22803.42848858,30
KRW-WAVES,2025-01-26T22:00:00,2025-01-27T07:00:00,2428,2435,2423,2428,1737930560739,65057559.68069632,26812.3623664,30
KRW-WAVES,2025-01-26T21:30:00,2025-01-27T06:30:00,2434,2438,2428,2428,1737928798831,27387948.3355654,11272.87859227,30
KRW-WAVES,2025-01-26T21:00:00,2025-01-27T06:00:00,2435,2440,2425,2432,1737926953519,44809009.98212087,18444.5902554,30
KRW-WAVES,2025-01-26T20:30:00,2025-01-27T05:30:00,2428,2442,2428,2435,1737924958498,32300041.5162498,13240.248628,30
KRW-WAVES,2025-01-26T20:00:00,2025-01-27T05:00:00,2427,2440,2423,2440,1737923289493,46486039.73166637,19104.1719395,30
KRW-WAVES,2025-01-26T19:30:00,2025-01-27T04:30:00,2435,2435,2428,2428,1737921356141,52639695.70039886,21638.72260963,30
KRW-WAVES,2025-01-26T19:00:00,2025-01-27T04:00:00,2435,2440,2434,2435,1737919799288,54658400.67295582,22452.30267009,30
KRW-WAVES,2025-01-26T18:30:00,2025-01-27T03:30:00,2439,2440,2433,2436,1737917919291,71622155.17293382,29381.77969962,30
KRW-WAVES,2025-01-26T18:00:00,2025-01-27T03:00:00,2430,2440,2429,2439,1737916179783,20926113.65431183,8592.68101445,30
KRW-WAVES,2025-01-26T17:30:00,2025-01-27T02:30:00,2420,2438,2420,2438,1737914287774,64105610.18111359,26381.65525268,30
KRW-WAVES,2025-01-26T17:00:00,2025-01-27T02:00:00,2422,2431,2420,2431,1737912489970,31961583.94526883,13164.70544806,30
KRW-WAVES,2025-01-26T16:30:00,2025-01-27T01:30:00,2420,2428,2410,2421,1737910704132,21440167.91895407,8855.9867558,30
KRW-WAVES,2025-01-26T16:00:00,2025-01-27T01:00:00,2421,2421,2406,2417,1737908765236,52353104.66979954,21725.78097541,30
KRW-WAVES,2025-01-26T15:30:00,2025-01-27T00:30:00,2418,2420,2407,2418,1737907176585,62388521.97387263,25871.92007932,30
KRW-WAVES,2025-01-26T15:00:00,2025-01-27T00:00:00,2422,2428,2410,2420,1737905363218,50468763.07719744,20887.13940305,30
KRW-WAVES,2025-01-26T14:30:00,2025-01-26T23:30:00,2417,2425,2408,2422,1737903506767,72415448.71650556,29933.44826669,30
KRW-WAVES,2025-01-26T14:00:00,2025-01-26T23:00:00,2419,2420,2404,2418,1737901701092,103080210.21213369,42801.45023955,30
KRW-WAVES,2025-01-26T13:30:00,2025-01-26T22:30:00,2410,2430,2407,2419,1737899992873,112881105.2975199,46706.28992193,30
KRW-WAVES,2025-01-26T13:00:00,2025-01-26T22:00:00,2416,2428,2405,2410,1737898154809,242403654.5873316,100582.03706148,30
KRW-WAVES,2025-01-26T12:30:00,2025-01-26T21:30:00,2433,2439,2412,2416,1737896382751,241510052.20793998,99791.45138382,30
KRW-WAVES,2025-01-26T12:00:00,2025-01-26T21:00:00,2435,2440,2424,2433,1737894571860,98007205.00889687,40269.94854442,30
KRW-WAVES,2025-01-26T11:30:00,2025-01-26T20:30:00,2436,2438,2430,2437,1737892701840,90715959.6339192,37266.89165414,30
KRW-WAVES,2025-01-26T11:00:00,2025-01-26T20:00:00,2433,2435,2425,2435,1737890977569,71187904.98136866,29306.12616528,30
KRW-WAVES,2025-01-26T10:30:00,2025-01-26T19:30:00,2428,2436,2420,2435,1737889135588,140425707.15520364,57868.64448632,30
KRW-WAVES,2025-01-26T10:00:00,2025-01-26T19:00:00,2427,2439,2424,2427,1737887344977,44852835.94407326,18459.49002698,30
KRW-WAVES,2025-01-26T09:30:00,2025-01-26T18:30:00,2430,2440,2420,2424,1737885586372,134545311.89392215,55445.23495162,30
KRW-WAVES,2025-01-26T09:00:00,2025-01-26T18:00:00,2445,2445,2430,2432,1737883705535,37457215.74605051,15391.34773298,30
KRW-WAVES,2025-01-26T08:30:00,2025-01-26T17:30:00,2442,2445,2434,2445,1737881978648,54886212.41521094,22485.97304827,30
KRW-WAVES,2025-01-26T08:00:00,2025-01-26T17:00:00,2442,2450,2441,2444,1737880126185,44594146.84574438,18226.63805093,30
KRW-WAVES,2025-01-26T07:30:00,2025-01-26T16:30:00,2436,2444,2429,2443,1737878313117,43889948.77245174,18023.02060288,30
KRW-WAVES,2025-01-26T07:00:00,2025-01-26T16:00:00,2449,2456,2430,2430,1737876588781,296289037.44494057,121374.76031147,30
KRW-WAVES,2025-01-26T06:30:00,2025-01-26T15:30:00,2445,2450,2438,2450,1737874788005,77138413.63399003,31586.53252338,30
KRW-WAVES,2025-01-26T06:00:00,2025-01-26T15:00:00,2441,2449,2436,2443,1737872972540,158523074.78360647,64868.78872183,30
