market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-WAXP,2025-01-27T13:30:00,2025-01-27T22:30:00,58.42,58.64,58.4,58.64,1737984775195,10057099.67529799,171706.05110036,30
KRW-WAXP,2025-01-27T13:00:00,2025-01-27T22:00:00,58.26,59.02,58.12,58.57,1737984551610,147166304.60093063,2513456.07690898,30
KRW-WAXP,2025-01-27T12:30:00,2025-01-27T21:30:00,57.05,58.81,56.98,58.28,1737982782584,176343868.6767854,3046507.25812842,30
KRW-WAXP,2025-01-27T12:00:00,2025-01-27T21:00:00,57.03,57.44,56.9,57,1737980988670,75536449.02851915,1322417.98417669,30
KRW-WAXP,2025-01-27T11:30:00,2025-01-27T20:30:00,57.39,57.6,56.99,56.99,1737979173064,36166974.3667583,631570.27771949,30
KRW-WAXP,2025-01-27T11:00:00,2025-01-27T20:00:00,57.08,57.49,56.9,57.34,1737977399423,311861211.5125004,5448694.48737136,30
KRW-WAXP,2025-01-27T10:30:00,2025-01-27T19:30:00,57.7,57.7,56.87,57.02,1737975598019,248313764.22520405,4343901.95492182,30
KRW-WAXP,2025-01-27T10:00:00,2025-01-27T19:00:00,58.01,58.09,57.74,57.79,1737973676208,32804505.65373813,566254.33625558,30
KRW-WAXP,2025-01-27T09:30:00,2025-01-27T18:30:00,57.5,58.19,57.5,58.12,1737971975014,68002765.74007256,1173790.25505051,30
KRW-WAXP,2025-01-27T09:00:00,2025-01-27T18:00:00,57.49,58.04,57.2,57.54,1737970183923,71116045.32279761,1236407.51386695,30
KRW-WAXP,2025-01-27T08:30:00,2025-01-27T17:30:00,57.6,57.6,57.06,57.33,1737968381930,132203662.53958786,2308382.57921486,30
KRW-WAXP,2025-01-27T08:00:00,2025-01-27T17:00:00,58.42,58.43,57.35,57.62,1737966599118,181445713.7908717,3149499.92120182,30
KRW-WAXP,2025-01-27T07:30:00,2025-01-27T16:30:00,57.28,58.59,57.2,58.42,1737964749404,280342229.88274074,4832725.45894364,30
KRW-WAXP,2025-01-27T07:00:00,2025-01-27T16:00:00,58.54,58.7,57.25,57.25,1737962998944,278237068.355426,4795036.14530494,30
KRW-WAXP,2025-01-27T06:30:00,2025-01-27T15:30:00,59.11,59.11,58.19,58.54,1737961190732,234965477.4099843,4012810.75760161,30
KRW-WAXP,2025-01-27T06:00:00,2025-01-27T15:00:00,59.49,59.51,58.92,59.14,1737959351447,85871057.04898085,1451726.29229806,30
KRW-WAXP,2025-01-27T05:30:00,2025-01-27T14:30:00,59.68,59.7,59.14,59.33,1737957493940,140695737.37829632,2369411.17945527,30
KRW-WAXP,2025-01-27T05:00:00,2025-01-27T14:00:00,59.66,59.8,59.52,59.61,1737955784756,47582172.60529152,798256.87135739,30
KRW-WAXP,2025-01-27T04:30:00,2025-01-27T13:30:00,59.64,59.96,59.52,59.61,1737953946287,70975707.33012839,1190042.95876829,30
KRW-WAXP,2025-01-27T04:00:00,2025-01-27T13:00:00,60.03,60.03,59.51,59.65,1737952194450,118266322.85174412,1978139.4216739,30
KRW-WAXP,2025-01-27T03:30:00,2025-01-27T12:30:00,60.07,60.15,59.92,59.97,1737950395450,35311962.08620766,588500.28578966,30
KRW-WAXP,2025-01-27T03:00:00,2025-01-27T12:00:00,59.92,60.31,59.7,60.06,1737948560349,115949899.33032472,1931749.45279984,30
KRW-WAXP,2025-01-27T02:30:00,2025-01-27T11:30:00,60.08,60.22,59.66,59.86,1737946788788,160558882.76984707,2677045.40836442,30
KRW-WAXP,2025-01-27T02:00:00,2025-01-27T11:00:00,60.54,60.61,60.06,60.24,1737944933841,134285033.097387,2228477.70657118,30
KRW-WAXP,2025-01-27T01:30:00,2025-01-27T10:30:00,60.69,60.9,60.4,60.58,1737943146026,100723883.52485232,1660543.22457232,30
KRW-WAXP,2025-01-27T01:00:00,2025-01-27T10:00:00,61.19,61.32,60.24,60.75,1737941321345,220051362.263539,3621392.79312064,30
KRW-WAXP,2025-01-27T00:30:00,2025-01-27T09:30:00,61.67,61.89,61.07,61.07,1737939598142,306367832.53304344,4985169.47948859,30
KRW-WAXP,2025-01-27T00:00:00,2025-01-27T09:00:00,61.99,62.35,61,61.77,1737937797491,332371607.3514441,5389333.99881787,30
KRW-WAXP,2025-01-26T23:30:00,2025-01-27T08:30:00,62.24,62.24,61.72,61.93,1737935978194,112315196.1202118,1814828.76692837,30
KRW-WAXP,2025-01-26T23:00:00,2025-01-27T08:00:00,62.93,63,62.1,62.24,1737934186064,172004009.69292122,2755248.83440605,30
KRW-WAXP,2025-01-26T22:30:00,2025-01-27T07:30:00,63.28,63.28,62.79,62.98,1737932339614,47855066.0730876,758645.05503825,30
KRW-WAXP,2025-01-26T22:00:00,2025-01-27T07:00:00,63.12,63.3,62.89,63.3,1737930491542,37510711.49458743,595419.65130371,30
KRW-WAXP,2025-01-26T21:30:00,2025-01-27T06:30:00,63.16,63.23,62.77,63.18,1737928635623,28102819.67302701,446011.06789703,30
