market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-XEC,2025-01-27T13:30:00,2025-01-27T22:30:00,0.04852,0.04865,0.04846,0.04865,1737984803751,12948698.44283019,266880371.93852216,30
KRW-XEC,2025-01-27T13:00:00,2025-01-27T22:00:00,0.04869,0.0488,0.04831,0.04852,1737984581148,137009567.3983903,2824941516.047845,30
KRW-XEC,2025-01-27T12:30:00,2025-01-27T21:30:00,0.04808,0.04891,0.04792,0.04867,1737982798091,194520827.09152436,4022022236.817496,30
KRW-XEC,2025-01-27T12:00:00,2025-01-27T21:00:00,0.048,0.0483,0.04794,0.04794,1737980987780,59806364.81516657,1242315085.3707929,30
KRW-XEC,2025-01-27T11:30:00,2025-01-27T20:30:00,0.04817,0.04829,0.04786,0.048,1737979169509,63470223.22225596,1320894553.5784829,30
KRW-XEC,2025-01-27T11:00:00,2025-01-27T20:00:00,0.04802,0.04834,0.04776,0.04817,1737977393310,57543439.25800383,1198386073.363865,30
KRW-XEC,2025-01-27T10:30:00,2025-01-27T19:30:00,0.0482,0.0482,0.04775,0.04796,1737975583701,153363579.1813303,3199112516.6456614,30
KRW-XEC,2025-01-27T10:00:00,2025-01-27T19:00:00,0.0484,0.04846,0.04813,0.0482,1737973794862,68478507.5679279,1417763389.9448862,30
KRW-XEC,2025-01-27T09:30:00,2025-01-27T18:30:00,0.048,0.04844,0.04787,0.04834,1737971922581,83124298.04229708,1727084311.3799832,30
KRW-XEC,2025-01-27T09:00:00,2025-01-27T18:00:00,0.04766,0.04828,0.04757,0.048,1737970200008,94058688.06619711,1957339938.3868215,30
KRW-XEC,2025-01-27T08:30:00,2025-01-27T17:30:00,0.04781,0.04781,0.0474,0.04769,1737968398535,138137815.57753006,2905835513.558646,30
KRW-XEC,2025-01-27T08:00:00,2025-01-27T17:00:00,0.04792,0.04796,0.04752,0.04774,1737966593671,79994836.6777991,1676119047.4909282,30
KRW-XEC,2025-01-27T07:30:00,2025-01-27T16:30:00,0.04693,0.04816,0.04688,0.04803,1737964800011,143303854.70692843,3012665048.7872353,30
KRW-XEC,2025-01-27T07:00:00,2025-01-27T16:00:00,0.04773,0.0479,0.04688,0.04696,1737962994417,356692845.66875035,7510222676.305809,30
KRW-XEC,2025-01-27T06:30:00,2025-01-27T15:30:00,0.04808,0.04808,0.0476,0.04769,1737961181531,349950974.4205391,7311888531.721953,30
KRW-XEC,2025-01-27T06:00:00,2025-01-27T15:00:00,0.04846,0.04849,0.04808,0.04808,1737959399892,178737182.29964668,3704781542.5943375,30
KRW-XEC,2025-01-27T05:30:00,2025-01-27T14:30:00,0.04864,0.04864,0.04823,0.04859,1737957592133,68166995.97702836,1408822278.9010055,30
KRW-XEC,2025-01-27T05:00:00,2025-01-27T14:00:00,0.04861,0.04873,0.04859,0.04864,1737955791508,29433179.7354306,604818631.658854,30
KRW-XEC,2025-01-27T04:30:00,2025-01-27T13:30:00,0.04871,0.04883,0.04861,0.04861,1737953999051,25480519.31777804,522794993.9737637,30
KRW-XEC,2025-01-27T04:00:00,2025-01-27T13:00:00,0.04867,0.04876,0.04852,0.04867,1737952103411,34528096.02527538,709953358.4581542,30
KRW-XEC,2025-01-27T03:30:00,2025-01-27T12:30:00,0.04883,0.04885,0.04855,0.04874,1737950382456,69299279.38625342,1423134991.4101915,30
KRW-XEC,2025-01-27T03:00:00,2025-01-27T12:00:00,0.04837,0.04888,0.04831,0.04872,1737948574097,59066614.81718392,1213898234.7973504,30
KRW-XEC,2025-01-27T02:30:00,2025-01-27T11:30:00,0.04844,0.04852,0.04824,0.0484,1737946786776,77483241.46141227,1602512687.4133062,30
KRW-XEC,2025-01-27T02:00:00,2025-01-27T11:00:00,0.04858,0.04864,0.04815,0.0484,1737944962383,167296598.3304563,3456610313.4860816,30
KRW-XEC,2025-01-27T01:30:00,2025-01-27T10:30:00,0.04871,0.04898,0.04854,0.04858,1737943199095,71439674.64228809,1467260295.5586321,30
KRW-XEC,2025-01-27T01:00:00,2025-01-27T10:00:00,0.04907,0.04911,0.0485,0.04871,1737941389525,300826465.85639584,6156047271.459784,30
KRW-XEC,2025-01-27T00:30:00,2025-01-27T09:30:00,0.04949,0.04956,0.04907,0.04907,1737939594293,67686505.88654955,1375144340.4321043,30
KRW-XEC,2025-01-27T00:00:00,2025-01-27T09:00:00,0.04957,0.04979,0.04921,0.04935,1737937758777,106064222.10982431,2145307817.8071444,30
KRW-XEC,2025-01-26T23:30:00,2025-01-27T08:30:00,0.04972,0.04972,0.04935,0.04957,1737935971998,118154259.8439605,2386495134.464535,30
KRW-XEC,2025-01-26T23:00:00,2025-01-27T08:00:00,0.05025,0.05025,0.04951,0.04955,1737934116078,235578961.86904526,4724905086.35216,30
KRW-XEC,2025-01-26T22:30:00,2025-01-27T07:30:00,0.05042,0.05048,0.05019,0.05032,1737932234690,12823920.42018322,255128254.30700704,30
KRW-XEC,2025-01-26T22:00:00,2025-01-27T07:00:00,0.05026,0.05038,0.05014,0.05026,1737930432651,28216789.88850697,561836227.6689551,30
KRW-XEC,2025-01-26T21:30:00,2025-01-27T06:30:00,0.05053,0.05053,0.05026,0.05026,1737928799907,26753435.56169673,531472755.93436503,30
KRW-XEC,2025-01-26T21:00:00,2025-01-27T06:00:00,0.0505,0.0505,0.05037,0.0505,1737926490752,17811379.12337148,352988550.6916965,30
KRW-XEC,2025-01-26T20:30:00,2025-01-27T05:30:00,0.05069,0.05069,0.0505,0.0505,1737924956745,9520590.32651595,188274723.92028227,30
KRW-XEC,2025-01-26T20:00:00,2025-01-27T05:00:00,0.05062,0.05062,0.05055,0.05062,1737922861775,14834249.23152837,293090927.107612,30
KRW-XEC,2025-01-26T19:30:00,2025-01-27T04:30:00,0.05062,0.05062,0.0506,0.05062,1737921575105,1793623.17905072,35434858.69133641,30
KRW-XEC,2025-01-26T19:00:00,2025-01-27T04:00:00,0.05072,0.05072,0.05052,0.05055,1737919710279,25414584.37404244,502203886.5833215,30
KRW-XEC,2025-01-26T18:30:00,2025-01-27T03:30:00,0.05065,0.05069,0.05061,0.05069,1737917967853,35428332.65410258,699284667.2949437,30
KRW-XEC,2025-01-26T18:00:00,2025-01-27T03:00:00,0.05047,0.0507,0.05045,0.05056,1737915798252,14189928.08421499,280455112.93322533,30
KRW-XEC,2025-01-26T17:30:00,2025-01-27T02:30:00,0.05034,0.05056,0.05028,0.05056,1737914189013,26540846.35612027,527101234.53059745,30
KRW-XEC,2025-01-26T17:00:00,2025-01-27T02:00:00,0.05033,0.05037,0.0503,0.05034,1737912555793,4932862.61413633,97986598.30520777,30
KRW-XEC,2025-01-26T16:30:00,2025-01-27T01:30:00,0.05028,0.05037,0.05024,0.05026,1737910427063,22625043.92688182,449690074.37406176,30
KRW-XEC,2025-01-26T16:00:00,2025-01-27T01:00:00,0.05032,0.05032,0.05014,0.0502,1737908967510,24684962.59726701,491504854.5770346,30
KRW-XEC,2025-01-26T15:30:00,2025-01-27T00:30:00,0.05028,0.05033,0.05019,0.05024,1737907167535,36612494.75844546,728463311.9833328,30
KRW-XEC,2025-01-26T15:00:00,2025-01-27T00:00:00,0.05027,0.05028,0.05021,0.05021,1737905394504,28640693.33698665,569942917.744888,30
KRW-XEC,2025-01-26T14:30:00,2025-01-26T23:30:00,0.05018,0.05032,0.05018,0.05027,1737903596697,9649070.30007983,191956500.1383192,30
KRW-XEC,2025-01-26T14:00:00,2025-01-26T23:00:00,0.05032,0.05032,0.05014,0.05018,1737901793619,22582478.92030866,449761355.0584776,30
KRW-XEC,2025-01-26T13:30:00,2025-01-26T22:30:00,0.05032,0.05033,0.05025,0.05033,1737899845835,22936336.80946848,455977124.85118514,30
KRW-XEC,2025-01-26T13:00:00,2025-01-26T22:00:00,0.05034,0.05035,0.05026,0.05032,1737898141406,37264706.53136582,740604080.191838,30
KRW-XEC,2025-01-26T12:30:00,2025-01-26T21:30:00,0.05035,0.05037,0.05028,0.05034,1737896354264,66417518.69009909,1320169412.6591637,30
KRW-XEC,2025-01-26T12:00:00,2025-01-26T21:00:00,0.05036,0.05036,0.05026,0.05035,1737894577714,22557886.82706922,448564700.1020816,30
KRW-XEC,2025-01-26T11:30:00,2025-01-26T20:30:00,0.05034,0.05037,0.05025,0.05037,1737892773211,12560554.30888229,249518544.33679548,30
KRW-XEC,2025-01-26T11:00:00,2025-01-26T20:00:00,0.0503,0.05038,0.0502,0.05027,1737890797487,12725855.93912705,252896765.67661086,30
KRW-XEC,2025-01-26T10:30:00,2025-01-26T19:30:00,0.0503,0.0503,0.05013,0.0503,1737889192105,29713722.64738742,592127502.5163599,30
KRW-XEC,2025-01-26T10:00:00,2025-01-26T19:00:00,0.05002,0.05033,0.05002,0.0503,1737887258002,22597424.64256927,450037173.7117618,30
KRW-XEC,2025-01-26T09:30:00,2025-01-26T18:30:00,0.05015,0.05015,0.04998,0.05002,1737885584364,41127451.8161853,822164424.4287456,30
KRW-XEC,2025-01-26T09:00:00,2025-01-26T18:00:00,0.0503,0.0503,0.05012,0.05016,1737883726374,19037998.48743793,379531886.8182383,30
KRW-XEC,2025-01-26T08:30:00,2025-01-26T17:30:00,0.05039,0.05039,0.05023,0.05031,1737881957464,25539031.47674504,507980323.87756395,30
KRW-XEC,2025-01-26T08:00:00,2025-01-26T17:00:00,0.05049,0.05052,0.05039,0.05039,1737880190758,22553081.78118602,446994328.8855636,30
KRW-XEC,2025-01-26T07:30:00,2025-01-26T16:30:00,0.05054,0.05056,0.05033,0.05037,1737878223330,47192229.15558078,936077138.059931,30
KRW-XEC,2025-01-26T07:00:00,2025-01-26T16:00:00,0.05057,0.05058,0.05044,0.05054,1737876575986,23828407.21615566,471941787.7460843,30
KRW-XEC,2025-01-26T06:30:00,2025-01-26T15:30:00,0.05028,0.05078,0.05013,0.05057,1737874596702,86488142.1019943,1717438398.5106013,30
KRW-XEC,2025-01-26T06:00:00,2025-01-26T15:00:00,0.05043,0.05047,0.05022,0.05022,1737872912336,126453300.5874922,2512165307.026131,30
KRW-XEC,2025-01-26T05:30:00,2025-01-26T14:30:00,0.05036,0.05043,0.05024,0.05043,1737871136877,82575555.72957145,1640762844.1798635,30
KRW-XEC,2025-01-26T05:00:00,2025-01-26T14:00:00,0.05049,0.05049,0.05031,0.05031,1737869382196,46414338.87664344,921268721.9923772,30
KRW-XEC,2025-01-26T04:30:00,2025-01-26T13:30:00,0.05053,0.05053,0.05039,0.05049,1737867558885,47058347.31191796,933506643.0542285,30
KRW-XEC,2025-01-26T04:00:00,2025-01-26T13:00:00,0.05048,0.05055,0.05025,0.05055,1737865738427,45808772.44136937,908345951.8645862,30
KRW-XEC,2025-01-26T03:30:00,2025-01-26T12:30:00,0.05033,0.05055,0.05025,0.05048,1737863988493,44651598.30446198,884793756.0227299,30
KRW-XEC,2025-01-26T03:00:00,2025-01-26T12:00:00,0.05038,0.05054,0.0502,0.05033,1737862198342,180378779.49649197,3580599823.380694,30
KRW-XEC,2025-01-26T02:30:00,2025-01-26T11:30:00,0.05044,0.05044,0.05027,0.05038,1737860378027,50396338.23651916,1000825014.6150538,30
KRW-XEC,2025-01-26T02:00:00,2025-01-26T11:00:00,0.05056,0.0506,0.0503,0.0503,1737858555063,122421297.14987177,2428727949.198624,30
KRW-XEC,2025-01-26T01:30:00,2025-01-26T10:30:00,0.05079,0.05084,0.05056,0.05056,1737856784327,39349301.60182534,777033561.425679,30
KRW-XEC,2025-01-26T01:00:00,2025-01-26T10:00:00,0.05063,0.0508,0.0505,0.05079,1737854968839,69232372.036969,1367858329.61419,30
KRW-XEC,2025-01-26T00:30:00,2025-01-26T09:30:00,0.05099,0.051,0.05067,0.05068,1737853193896,81130669.8071783,1596811627.1803527,30
KRW-XEC,2025-01-26T00:00:00,2025-01-26T09:00:00,0.05055,0.05145,0.05045,0.05095,1737851371712,693254311.5307041,13599645987.428745,30
KRW-XEC,2025-01-25T23:30:00,2025-01-26T08:30:00,0.05081,0.05081,0.05045,0.05045,1737849568499,73369562.51137856,1453149059.7953756,30
KRW-XEC,2025-01-25T23:00:00,2025-01-26T08:00:00,0.05082,0.0509,0.0505,0.05072,1737847772435,61424601.88755584,1210303709.9027038,30
KRW-XEC,2025-01-25T22:30:00,2025-01-26T07:30:00,0.05013,0.05092,0.05013,0.05082,1737845991995,136647108.70196226,2702596372.3598876,30
KRW-XEC,2025-01-25T22:00:00,2025-01-26T07:00:00,0.05027,0.05028,0.05009,0.0501,1737844198365,10218473.2082593,203763874.77914917,30
KRW-XEC,2025-01-25T21:30:00,2025-01-26T06:30:00,0.05028,0.0503,0.05008,0.0502,1737842245414,18442180.77975637,367609048.2580554,30
KRW-XEC,2025-01-25T21:00:00,2025-01-26T06:00:00,0.05032,0.05039,0.05009,0.05028,1737840599167,48441311.08872753,964586834.023572,30
KRW-XEC,2025-01-25T20:30:00,2025-01-26T05:30:00,0.05057,0.05057,0.05028,0.05034,1737838780353,8508656.53880735,168891913.5807725,30
KRW-XEC,2025-01-25T20:00:00,2025-01-26T05:00:00,0.05049,0.05069,0.05049,0.05057,1737836974007,32557059.7629956,642681155.1610754,30
KRW-XEC,2025-01-25T19:30:00,2025-01-26T04:30:00,0.0504,0.05067,0.05034,0.05044,1737835183641,35281491.7419166,698363245.9810814,30
