market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-XEM,2025-01-27T13:30:00,2025-01-27T22:30:00,35.17,35.3,35.08,35.17,1737984805583,6521382.83731979,185557.18438177,30
KRW-XEM,2025-01-27T13:00:00,2025-01-27T22:00:00,35.21,35.78,35,35.38,1737984496747,27824847.85292206,788684.95708725,30
KRW-XEM,2025-01-27T12:30:00,2025-01-27T21:30:00,34.62,35.58,34.36,35.21,1737982791923,62882061.25478775,1791987.84423259,30
KRW-XEM,2025-01-27T12:00:00,2025-01-27T21:00:00,34.44,34.99,34.33,34.53,1737980997212,15417102.87744915,446003.45977474,30
KRW-XEM,2025-01-27T11:30:00,2025-01-27T20:30:00,34.45,34.73,34.32,34.4,1737979193008,24907614.80092466,721597.11993296,30
KRW-XEM,2025-01-27T11:00:00,2025-01-27T20:00:00,34.1,34.53,33.97,34.45,1737977392707,59870903.43664997,1743393.39017269,30
KRW-XEM,2025-01-27T10:30:00,2025-01-27T19:30:00,34.51,34.56,33.9,33.98,1737975584893,143286843.99643505,4200994.49735555,30
KRW-XEM,2025-01-27T10:00:00,2025-01-27T19:00:00,34.85,34.99,34.38,34.51,1737973788202,23122033.21635742,667126.54875917,30
KRW-XEM,2025-01-27T09:30:00,2025-01-27T18:30:00,34.65,34.89,34.51,34.89,1737971906320,18357328.5617245,529080.23359227,30
KRW-XEM,2025-01-27T09:00:00,2025-01-27T18:00:00,34.51,34.94,34.42,34.61,1737970189825,26104037.24503631,751092.30933132,30
KRW-XEM,2025-01-27T08:30:00,2025-01-27T17:30:00,34.73,34.79,34.18,34.42,1737968220493,66728387.4726384,1944053.97057279,30
KRW-XEM,2025-01-27T08:00:00,2025-01-27T17:00:00,35,35.14,34.65,34.79,1737966591276,37383131.27147978,1073977.89370926,30
KRW-XEM,2025-01-27T07:30:00,2025-01-27T16:30:00,34.36,35.49,34.13,35.13,1737964783363,333338880.75353384,9667567.5143519,30
KRW-XEM,2025-01-27T07:00:00,2025-01-27T16:00:00,35.14,35.54,34.32,34.32,1737962999554,182015793.44964492,5225451.08080471,30
KRW-XEM,2025-01-27T06:30:00,2025-01-27T15:30:00,35.62,35.62,35,35,1737961183581,124006350.74859437,3525842.77636146,30
KRW-XEM,2025-01-27T06:00:00,2025-01-27T15:00:00,35.65,35.95,35.25,35.45,1737959368195,72977626.05441178,2055094.56846368,30
KRW-XEM,2025-01-27T05:30:00,2025-01-27T14:30:00,35.95,35.98,35.51,35.65,1737957557871,78142282.97983088,2191047.34978593,30
KRW-XEM,2025-01-27T05:00:00,2025-01-27T14:00:00,36.1,36.18,35.82,35.9,1737955797522,35910489.48974843,998034.02351977,30
KRW-XEM,2025-01-27T04:30:00,2025-01-27T13:30:00,36.05,36.26,35.88,36.11,1737953993673,77852448.01382989,2159581.46135342,30
KRW-XEM,2025-01-27T04:00:00,2025-01-27T13:00:00,36.18,36.24,35.93,36.05,1737952188759,46408936.60306932,1288440.9020053,30
KRW-XEM,2025-01-27T03:30:00,2025-01-27T12:30:00,36.45,36.54,36,36.06,1737950379138,94543526.34025066,2615333.3266183,30
KRW-XEM,2025-01-27T03:00:00,2025-01-27T12:00:00,35.98,36.68,35.83,36.54,1737948576497,98606313.17653781,2715173.88681464,30
KRW-XEM,2025-01-27T02:30:00,2025-01-27T11:30:00,37.83,38.7,35.6,35.89,1737946799587,1273003144.5946283,34107220.98081929,30
KRW-XEM,2025-01-27T02:00:00,2025-01-27T11:00:00,36.17,37.85,36,37.83,1737944999996,174717831.7947341,4725588.834624,30
KRW-XEM,2025-01-27T01:30:00,2025-01-27T10:30:00,36.33,36.43,36.17,36.17,1737943107061,49099870.24228174,1352493.31616386,30
KRW-XEM,2025-01-27T01:00:00,2025-01-27T10:00:00,36.09,36.38,35.82,36.33,1737941361411,143520666.4097027,3985151.83094426,30
KRW-XEM,2025-01-27T00:30:00,2025-01-27T09:30:00,36.24,36.28,36,36.09,1737939570273,38655056.46054935,1070004.73745854,30
KRW-XEM,2025-01-27T00:00:00,2025-01-27T09:00:00,36.35,36.44,35.98,36.18,1737937728326,78163537.84087677,2164825.95166992,30
KRW-XEM,2025-01-26T23:30:00,2025-01-27T08:30:00,36.3,37.24,36.2,36.31,1737935992540,38209780.05428244,1052354.08178054,30
KRW-XEM,2025-01-26T23:00:00,2025-01-27T08:00:00,37.01,37.07,36.01,36.33,1737934169498,204250180.87170726,5607408.07338122,30
KRW-XEM,2025-01-26T22:30:00,2025-01-27T07:30:00,37.07,37.24,37.01,37.11,1737932368340,7116825.84790894,191928.76945638,30
KRW-XEM,2025-01-26T22:00:00,2025-01-27T07:00:00,37.05,37.25,36.98,37.18,1737930544216,19145639.45543531,514918.2551345,30
KRW-XEM,2025-01-26T21:30:00,2025-01-27T06:30:00,37.05,37.15,36.98,36.98,1737928777796,27590365.02041086,745872.48479403,30
KRW-XEM,2025-01-26T21:00:00,2025-01-27T06:00:00,37.09,37.15,37.05,37.05,1737926920222,3805934.39295193,102672.26842103,30
KRW-XEM,2025-01-26T20:30:00,2025-01-27T05:30:00,37.22,37.22,37.09,37.09,1737925095598,2615417.35751446,70409.15930053,30
KRW-XEM,2025-01-26T20:00:00,2025-01-27T05:00:00,37.08,37.22,37.07,37.22,1737923307426,2824403.58385233,76064.24422057,30
KRW-XEM,2025-01-26T19:30:00,2025-01-27T04:30:00,37.1,37.19,37.08,37.08,1737921578738,1252227.85599344,33753.9167069,30
KRW-XEM,2025-01-26T19:00:00,2025-01-27T04:00:00,37.09,37.22,37.09,37.1,1737919294538,4759369.51083761,127930.68389717,30
KRW-XEM,2025-01-26T18:30:00,2025-01-27T03:30:00,37.18,37.24,37.09,37.09,1737917993994,5863050.55973195,157679.90996034,30
KRW-XEM,2025-01-26T18:00:00,2025-01-27T03:00:00,37.07,37.11,37.07,37.08,1737915896225,2352165.73536139,63428.29882507,30
KRW-XEM,2025-01-26T17:30:00,2025-01-27T02:30:00,37.15,37.17,37.03,37.17,1737913956693,5333253.99543354,143531.61627825,30
KRW-XEM,2025-01-26T17:00:00,2025-01-27T02:00:00,37.13,37.15,37.02,37.15,1737912290908,7107305.88755164,191682.11058607,30
KRW-XEM,2025-01-26T16:30:00,2025-01-27T01:30:00,37,37.13,37,37.13,1737910774259,3982410.73275349,107384.89439678,30
KRW-XEM,2025-01-26T16:00:00,2025-01-27T01:00:00,37.02,37.04,36.89,37,1737908825591,8228810.69641039,222914.86103773,30
KRW-XEM,2025-01-26T15:30:00,2025-01-27T00:30:00,37.09,37.13,36.89,37.04,1737907085866,38212130.23493361,1034046.96055423,30
KRW-XEM,2025-01-26T15:00:00,2025-01-27T00:00:00,37.14,37.21,37.05,37.09,1737905379363,33060870.89620067,889838.81789421,30
KRW-XEM,2025-01-26T14:30:00,2025-01-26T23:30:00,37.26,37.26,37.13,37.2,1737903547407,15084465.02370095,406121.20235681,30
KRW-XEM,2025-01-26T14:00:00,2025-01-26T23:00:00,37.11,37.47,37.06,37.26,1737901674222,35715129.53082507,957155.41026757,30
KRW-XEM,2025-01-26T13:30:00,2025-01-26T22:30:00,36.9,37.25,36.9,37.12,1737899985557,17943770.39328156,484071.97207733,30
KRW-XEM,2025-01-26T13:00:00,2025-01-26T22:00:00,37.03,37.05,36.87,36.9,1737898152173,22379074.95036538,605964.38256486,30
KRW-XEM,2025-01-26T12:30:00,2025-01-26T21:30:00,37.23,37.24,36.97,37.1,1737896262374,31969520.72745967,862339.40444705,30
KRW-XEM,2025-01-26T12:00:00,2025-01-26T21:00:00,37.09,37.24,37.09,37.14,1737894575147,36384593.35388881,979510.64529277,30
KRW-XEM,2025-01-26T11:30:00,2025-01-26T20:30:00,36.98,37.1,36.98,37.1,1737892407550,10315698.38084089,278363.30136708,30
