market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-XLM,2025-01-27T13:30:00,2025-01-27T22:30:00,604.6,610,604,608.9,1737984797399,202539773.74910706,333339.32995781,30
KRW-XLM,2025-01-27T13:00:00,2025-01-27T22:00:00,598.2,607.3,594.5,604,1737984588693,1381831556.657398,2300710.95364324,30
KRW-XLM,2025-01-27T12:30:00,2025-01-27T21:30:00,579.1,601.3,576.8,598.7,1737982799959,2122392891.9225125,3591303.09523626,30
KRW-XLM,2025-01-27T12:00:00,2025-01-27T21:00:00,578.4,584.5,578,578.7,1737980997782,828081041.2425783,1425638.33696921,30
KRW-XLM,2025-01-27T11:30:00,2025-01-27T20:30:00,581.5,584,578.3,578.4,1737979198175,525390178.5890174,903886.13754948,30
KRW-XLM,2025-01-27T11:00:00,2025-01-27T20:00:00,574.8,582.9,574.8,581.5,1737977390658,1084291183.6634197,1876094.72030687,30
KRW-XLM,2025-01-27T10:30:00,2025-01-27T19:30:00,580.1,580.6,572.7,574.8,1737975599793,1074172128.2761042,1864057.64366658,30
KRW-XLM,2025-01-27T10:00:00,2025-01-27T19:00:00,584.1,584.8,579.7,580.1,1737973795711,678604534.3841821,1166537.27804537,30
KRW-XLM,2025-01-27T09:30:00,2025-01-27T18:30:00,575.4,585.6,574.5,583.8,1737971995404,859734920.3138344,1483343.4920214,30
KRW-XLM,2025-01-27T09:00:00,2025-01-27T18:00:00,577.5,583.1,574,575.1,1737970197696,1027202045.8138077,1774462.28227115,30
KRW-XLM,2025-01-27T08:30:00,2025-01-27T17:30:00,581,581,570.4,577.5,1737968399774,1741686830.765225,3031192.75947504,30
KRW-XLM,2025-01-27T08:00:00,2025-01-27T17:00:00,587,587.6,578.4,581,1737966596940,1458983729.8554056,2505989.57976402,30
KRW-XLM,2025-01-27T07:30:00,2025-01-27T16:30:00,564,588.7,563.9,586.4,1737964799832,3395031342.3157096,5863975.81568687,30
KRW-XLM,2025-01-27T07:00:00,2025-01-27T16:00:00,591.8,593.7,563.4,564,1737963000049,6059997457.634354,10414515.00408557,30
KRW-XLM,2025-01-27T06:30:00,2025-01-27T15:30:00,597.4,598,589.7,591.8,1737961197796,2676261053.23647,4514622.37714688,30
