market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-XRP,2025-01-27T13:30:00,2025-01-27T22:30:00,4447,4461,4440,4460,1737984809862,4736645059.826362,1063471.10639188,30
KRW-XRP,2025-01-27T13:00:00,2025-01-27T22:00:00,4421,4481,4397,4446,1737984599606,83418951950.86833,18758681.70558017,30
KRW-XRP,2025-01-27T12:30:00,2025-01-27T21:30:00,4295,4440,4286,4424,1737982799813,83848520888.65515,19145229.06258487,30
KRW-XRP,2025-01-27T12:00:00,2025-01-27T21:00:00,4287,4325,4284,4293,1737980999087,28386896794.077805,6598246.38003136,30
KRW-XRP,2025-01-27T11:30:00,2025-01-27T20:30:00,4321,4334,4285,4289,1737979199632,25071338325.730762,5812475.09320458,30
KRW-XRP,2025-01-27T11:00:00,2025-01-27T20:00:00,4274,4336,4271,4321,1737977399640,34944353499.56279,8123924.43688281,30
KRW-XRP,2025-01-27T10:30:00,2025-01-27T19:30:00,4319,4323,4251,4275,1737975600003,45184140003.855896,10555081.87646174,30
KRW-XRP,2025-01-27T10:00:00,2025-01-27T19:00:00,4354,4355,4310,4319,1737973799729,24394659655.607826,5630569.61630856,30
KRW-XRP,2025-01-27T09:30:00,2025-01-27T18:30:00,4289,4354,4286,4353,1737971999991,31161898537.212727,7203531.45959545,30
KRW-XRP,2025-01-27T09:00:00,2025-01-27T18:00:00,4295,4355,4266,4288,1737970199702,54947607184.02323,12716505.26202441,30
KRW-XRP,2025-01-27T08:30:00,2025-01-27T17:30:00,4303,4303,4220,4294,1737968400028,97570078953.89441,22925272.42303676,30
KRW-XRP,2025-01-27T08:00:00,2025-01-27T17:00:00,4353,4354,4272,4303,1737966599953,97277981305.68489,22568775.49053776,30
KRW-XRP,2025-01-27T07:30:00,2025-01-27T16:30:00,4200,4380,4197,4353,1737964799854,201157971979.6557,46738679.23511489,30
KRW-XRP,2025-01-27T07:00:00,2025-01-27T16:00:00,4404,4423,4200,4202,1737963000043,223589360317.33057,51831859.5898598,30
KRW-XRP,2025-01-27T06:30:00,2025-01-27T15:30:00,4478,4478,4381,4405,1737961200013,133261790338.04625,30165112.30054361,30
KRW-XRP,2025-01-27T06:00:00,2025-01-27T15:00:00,4503,4509,4476,4477,1737959399144,26750998675.272575,5955347.38993407,30
KRW-XRP,2025-01-27T05:30:00,2025-01-27T14:30:00,4517,4521,4475,4503,1737957600024,66048332892.38594,14688679.51323552,30
KRW-XRP,2025-01-27T05:00:00,2025-01-27T14:00:00,4540,4547,4506,4518,1737955799055,27633010586.973038,6108587.03968896,30
KRW-XRP,2025-01-27T04:30:00,2025-01-27T13:30:00,4551,4565,4533,4541,1737953999127,15070478585.424654,3315970.54294327,30
KRW-XRP,2025-01-27T04:00:00,2025-01-27T13:00:00,4578,4579,4551,4552,1737952199642,13670466099.293911,2997099.79537584,30
KRW-XRP,2025-01-27T03:30:00,2025-01-27T12:30:00,4589,4594,4570,4578,1737950396553,13937814964.083364,3042041.41395335,30
KRW-XRP,2025-01-27T03:00:00,2025-01-27T12:00:00,4541,4597,4534,4588,1737948598674,25488902312.670403,5581400.57550882,30
KRW-XRP,2025-01-27T02:30:00,2025-01-27T11:30:00,4515,4543,4505,4541,1737946799770,28819963282.007095,6376469.66815112,30
KRW-XRP,2025-01-27T02:00:00,2025-01-27T11:00:00,4547,4558,4512,4515,1737944999836,37460045356.16554,8265569.76866905,30
KRW-XRP,2025-01-27T01:30:00,2025-01-27T10:30:00,4550,4586,4544,4547,1737943199906,22737835039.713303,4983135.69245325,30
KRW-XRP,2025-01-27T01:00:00,2025-01-27T10:00:00,4554,4577,4505,4549,1737941399583,64004217568.09049,14078415.15948076,30
KRW-XRP,2025-01-27T00:30:00,2025-01-27T09:30:00,4605,4607,4550,4554,1737939599673,54225000143.25533,11857471.83438451,30
KRW-XRP,2025-01-27T00:00:00,2025-01-27T09:00:00,4607,4634,4578,4604,1737937798867,55711001031.54922,12110381.11486113,30
KRW-XRP,2025-01-26T23:30:00,2025-01-27T08:30:00,4628,4631,4586,4610,1737935999099,53297158509.32897,11576157.81707659,30
KRW-XRP,2025-01-26T23:00:00,2025-01-27T08:00:00,4664,4667,4605,4630,1737934199637,44797254073.240814,9668787.98895316,30
KRW-XRP,2025-01-26T22:30:00,2025-01-27T07:30:00,4663,4675,4656,4665,1737932398120,9695941510.766136,2078193.02004751,30
KRW-XRP,2025-01-26T22:00:00,2025-01-27T07:00:00,4671,4673,4655,4663,1737930599824,21505015133.289894,4611863.92350284,30
KRW-XRP,2025-01-26T21:30:00,2025-01-27T06:30:00,4683,4687,4671,4671,1737928798152,5355403661.139083,1145260.00742339,30
KRW-XRP,2025-01-26T21:00:00,2025-01-27T06:00:00,4691,4692,4680,4683,1737926992129,2571089983.633207,548974.19691242,30
KRW-XRP,2025-01-26T20:30:00,2025-01-27T05:30:00,4687,4692,4684,4691,1737925198659,1495727336.6453052,319018.80639467,30
KRW-XRP,2025-01-26T20:00:00,2025-01-27T05:00:00,4689,4690,4682,4689,1737923397567,1105608999.4775307,235973.37278852,30
KRW-XRP,2025-01-26T19:30:00,2025-01-27T04:30:00,4689,4697,4684,4689,1737921597981,3349493174.2377124,713905.45943814,30
KRW-XRP,2025-01-26T19:00:00,2025-01-27T04:00:00,4689,4691,4685,4689,1737919796330,1164971846.7243278,248456.28010811,30
KRW-XRP,2025-01-26T18:30:00,2025-01-27T03:30:00,4684,4690,4684,4689,1737917990461,1026443627.452986,218988.41077811,30
