market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-XTZ,2025-01-27T13:30:00,2025-01-27T22:30:00,1645,1645,1636,1643,1737984768733,2018778.04609112,1228.93596882,30
KRW-XTZ,2025-01-27T13:00:00,2025-01-27T22:00:00,1635,1650,1626,1643,1737984580726,58590958.18128311,35739.45270071,30
KRW-XTZ,2025-01-27T12:30:00,2025-01-27T21:30:00,1594,1641,1591,1635,1737982752147,113802388.72289307,69943.70151547,30
KRW-XTZ,2025-01-27T12:00:00,2025-01-27T21:00:00,1590,1600,1586,1594,1737980995534,17321923.32206039,10876.77289797,30
KRW-XTZ,2025-01-27T11:30:00,2025-01-27T20:30:00,1593,1599,1590,1590,1737979196311,32766635.22865622,20558.66628858,30
KRW-XTZ,2025-01-27T11:00:00,2025-01-27T20:00:00,1580,1595,1575,1593,1737977230617,78084673.14421615,49244.25546647,30
KRW-XTZ,2025-01-27T10:30:00,2025-01-27T19:30:00,1589,1590,1573,1579,1737975576325,59904980.10445528,37945.19065138,30
KRW-XTZ,2025-01-27T10:00:00,2025-01-27T19:00:00,1596,1598,1591,1591,1737973710867,9108224.58237899,5709.31045257,30
KRW-XTZ,2025-01-27T09:30:00,2025-01-27T18:30:00,1582,1596,1582,1595,1737971999748,7605777.79581827,4782.63684754,30
KRW-XTZ,2025-01-27T09:00:00,2025-01-27T18:00:00,1579,1598,1575,1583,1737970187164,14559805.98549112,9173.29530637,30
KRW-XTZ,2025-01-27T08:30:00,2025-01-27T17:30:00,1594,1594,1568,1580,1737968286851,178259182.4295382,113094.89602588,30
KRW-XTZ,2025-01-27T08:00:00,2025-01-27T17:00:00,1600,1603,1581,1595,1737966564869,63117392.39023121,39747.27455036,30
KRW-XTZ,2025-01-27T07:30:00,2025-01-27T16:30:00,1575,1607,1575,1600,1737964744797,65428745.99878703,41046.38074104,30
KRW-XTZ,2025-01-27T07:00:00,2025-01-27T16:00:00,1604,1607,1571,1575,1737962993530,191498479.49113852,119970.27041071,30
KRW-XTZ,2025-01-27T06:30:00,2025-01-27T15:30:00,1617,1620,1602,1603,1737961176986,65606829.94345047,40758.71816427,30
KRW-XTZ,2025-01-27T06:00:00,2025-01-27T15:00:00,1629,1629,1618,1620,1737959340499,36911088.67351304,22731.24663211,30
KRW-XTZ,2025-01-27T05:30:00,2025-01-27T14:30:00,1628,1632,1617,1629,1737957588475,46254014.81708276,28532.24229055,30
KRW-XTZ,2025-01-27T05:00:00,2025-01-27T14:00:00,1628,1633,1620,1630,1737955753449,72733672.57550336,44671.9284853,30
KRW-XTZ,2025-01-27T04:30:00,2025-01-27T13:30:00,1632,1638,1627,1628,1737953920762,19536623.76178741,11972.05297428,30
KRW-XTZ,2025-01-27T04:00:00,2025-01-27T13:00:00,1648,1648,1629,1632,1737952199940,57627938.07467662,35181.07752242,30
KRW-XTZ,2025-01-27T03:30:00,2025-01-27T12:30:00,1654,1654,1647,1649,1737950333076,77300752.74306598,46907.12582133,30
KRW-XTZ,2025-01-27T03:00:00,2025-01-27T12:00:00,1638,1657,1637,1654,1737948545863,32365798.37012773,19606.98058947,30
