market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ZETA,2025-01-27T13:30:00,2025-01-27T22:30:00,652,652.3,650,651.6,1737984792043,1982881.32229017,3043.12810946,30
KRW-ZETA,2025-01-27T13:00:00,2025-01-27T22:00:00,651,655.9,643.7,651.4,1737984574161,95476001.85904689,146821.59351578,30
KRW-ZETA,2025-01-27T12:30:00,2025-01-27T21:30:00,633.5,657.2,631.9,651,1737982786130,144194123.5362784,222813.7131885,30
KRW-ZETA,2025-01-27T12:00:00,2025-01-27T21:00:00,634.9,639.5,631.6,633.3,1737980996046,61237717.82684738,96537.38655875,30
KRW-ZETA,2025-01-27T11:30:00,2025-01-27T20:30:00,638.1,641.5,634.5,634.5,1737979197432,37079454.9902724,58086.3470105,30
KRW-ZETA,2025-01-27T11:00:00,2025-01-27T20:00:00,630.9,639.9,630,638.1,1737977393348,142422302.44485387,224720.73979862,30
KRW-ZETA,2025-01-27T10:30:00,2025-01-27T19:30:00,636.3,638.5,628.9,631,1737975595409,202361035.62078503,320140.01370891,30
KRW-ZETA,2025-01-27T10:00:00,2025-01-27T19:00:00,644.6,644.6,636.1,637.1,1737973783490,56601378.97134641,88689.47145108,30
KRW-ZETA,2025-01-27T09:30:00,2025-01-27T18:30:00,637.5,646.4,635.9,644.6,1737971953369,80407577.21934605,125285.28638475,30
KRW-ZETA,2025-01-27T09:00:00,2025-01-27T18:00:00,636.9,645.7,634.1,637.5,1737970185531,74702132.83777991,116762.75223225,30
KRW-ZETA,2025-01-27T08:30:00,2025-01-27T17:30:00,638.7,646,631.1,636.9,1737968336815,192663378.29574814,303579.38537076,30
KRW-ZETA,2025-01-27T08:00:00,2025-01-27T17:00:00,646.4,646.4,637.1,640,1737966568526,96397690.08471955,150198.29973301,30
KRW-ZETA,2025-01-27T07:30:00,2025-01-27T16:30:00,634.2,649.7,632.8,645.8,1737964730143,212396359.51474205,330068.69319328,30
KRW-ZETA,2025-01-27T07:00:00,2025-01-27T16:00:00,651.9,658.4,632.6,633.5,1737962999970,363020527.51237273,562799.83960755,30
KRW-ZETA,2025-01-27T06:30:00,2025-01-27T15:30:00,655.1,655.2,648.5,650.8,1737961146485,266631096.9393348,409317.7216899,30
