market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ZIL,2025-01-27T13:30:00,2025-01-27T22:30:00,28.21,28.31,28.16,28.31,1737984774501,4746152.7790204,168319.87916063,30
KRW-ZIL,2025-01-27T13:00:00,2025-01-27T22:00:00,28.29,28.37,28.1,28.21,1737984569021,42243974.11532657,1496943.88311127,30
KRW-ZIL,2025-01-27T12:30:00,2025-01-27T21:30:00,27.6,28.53,27.54,28.25,1737982798637,70869315.99607772,2519203.84111125,30
KRW-ZIL,2025-01-27T12:00:00,2025-01-27T21:00:00,27.59,27.87,27.56,27.6,1737980995867,24064272.38150541,870731.31078982,30
KRW-ZIL,2025-01-27T11:30:00,2025-01-27T20:30:00,27.75,27.84,27.59,27.64,1737979178756,11134686.59744627,401883.61812605,30
KRW-ZIL,2025-01-27T11:00:00,2025-01-27T20:00:00,27.64,27.86,27.54,27.8,1737977278502,128813818.92865856,4665319.24699717,30
KRW-ZIL,2025-01-27T10:30:00,2025-01-27T19:30:00,28.01,28.01,27.5,27.64,1737975573487,74364852.65294561,2681388.85156179,30
KRW-ZIL,2025-01-27T10:00:00,2025-01-27T19:00:00,28.32,28.33,27.95,28.03,1737973789752,25191724.1930651,895704.68523807,30
KRW-ZIL,2025-01-27T09:30:00,2025-01-27T18:30:00,28,28.37,28,28.37,1737971973403,18515008.97037815,657022.18427731,30
KRW-ZIL,2025-01-27T09:00:00,2025-01-27T18:00:00,27.79,28.24,27.79,27.98,1737970155857,16463400.93541647,584603.82321718,30
KRW-ZIL,2025-01-27T08:30:00,2025-01-27T17:30:00,27.8,27.8,27.51,27.74,1737968378694,37414070.3114038,1353102.01113746,30
KRW-ZIL,2025-01-27T08:00:00,2025-01-27T17:00:00,27.85,28.03,27.61,27.9,1737966455549,119771384.99114452,4301331.10746686,30
KRW-ZIL,2025-01-27T07:30:00,2025-01-27T16:30:00,27.15,27.98,27.1,27.85,1737964777813,65420259.00487841,2383611.12909839,30
KRW-ZIL,2025-01-27T07:00:00,2025-01-27T16:00:00,27.75,27.86,27.12,27.12,1737962994930,195097169.83260226,7118361.59483644,30
KRW-ZIL,2025-01-27T06:30:00,2025-01-27T15:30:00,27.83,27.84,27.57,27.68,1737961173022,135543920.43739566,4895081.41522429,30
KRW-ZIL,2025-01-27T06:00:00,2025-01-27T15:00:00,28.07,28.09,27.82,27.86,1737959384815,90787537.03584176,3256940.21956953,30
KRW-ZIL,2025-01-27T05:30:00,2025-01-27T14:30:00,28.16,28.19,27.94,28.02,1737957493286,83547713.22642885,2981010.24272973,30
KRW-ZIL,2025-01-27T05:00:00,2025-01-27T14:00:00,28.15,28.28,28.1,28.16,1737955705663,26721854.72965629,948723.03418095,30
KRW-ZIL,2025-01-27T04:30:00,2025-01-27T13:30:00,28.21,28.32,28.15,28.15,1737953997523,51550747.91361317,1824672.6248316,30
KRW-ZIL,2025-01-27T04:00:00,2025-01-27T13:00:00,28.44,28.44,28.18,28.26,1737952193433,129225876.239617,4569168.12763787,30
KRW-ZIL,2025-01-27T03:30:00,2025-01-27T12:30:00,28.51,28.55,28.4,28.5,1737950370945,19471761.2161098,683815.6502588,30
KRW-ZIL,2025-01-27T03:00:00,2025-01-27T12:00:00,28.21,28.63,28.2,28.59,1737948451738,32842831.20235002,1159034.47791778,30
KRW-ZIL,2025-01-27T02:30:00,2025-01-27T11:30:00,28.32,28.38,28.2,28.21,1737946743655,50704616.48620083,1793710.11735817,30
KRW-ZIL,2025-01-27T02:00:00,2025-01-27T11:00:00,28.5,28.56,28.3,28.35,1737944996239,70193320.18418753,2470983.83345304,30
KRW-ZIL,2025-01-27T01:30:00,2025-01-27T10:30:00,28.65,28.81,28.5,28.5,1737943122398,47863646.14029844,1674351.42137467,30
KRW-ZIL,2025-01-27T01:00:00,2025-01-27T10:00:00,28.77,28.89,28.49,28.68,1737941381370,90224866.6635829,3148947.76073932,30
KRW-ZIL,2025-01-27T00:30:00,2025-01-27T09:30:00,29.09,29.09,28.75,28.77,1737939590879,122841654.66911273,4248401.51348243,30
KRW-ZIL,2025-01-27T00:00:00,2025-01-27T09:00:00,29.2,29.42,28.93,29.14,1737937761848,220135954.2144615,7568935.19168015,30
KRW-ZIL,2025-01-26T23:30:00,2025-01-27T08:30:00,29.38,29.38,29.11,29.13,1737935982327,34330890.55654499,1175622.31259326,30
KRW-ZIL,2025-01-26T23:00:00,2025-01-27T08:00:00,29.62,29.62,29.22,29.37,1737934190023,80675561.20282418,2737835.16066164,30
