market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ZRO,2025-01-27T13:30:00,2025-01-27T22:30:00,5660,5681,5648,5673,1737984819903,17564069.5074931,3096.91743663,30
KRW-ZRO,2025-01-27T13:00:00,2025-01-27T22:00:00,5571,5662,5538,5650,1737984588286,369597743.72097015,65941.36940554,30
KRW-ZRO,2025-01-27T12:30:00,2025-01-27T21:30:00,5373,5620,5369,5565,1737982795468,159371627.1854861,28720.20352422,30
KRW-ZRO,2025-01-27T12:00:00,2025-01-27T21:00:00,5398,5431,5360,5378,1737980996921,49669707.55933455,9204.75748601,30
KRW-ZRO,2025-01-27T11:30:00,2025-01-27T20:30:00,5426,5467,5389,5389,1737979196416,28035263.86323816,5174.6399044,30
KRW-ZRO,2025-01-27T11:00:00,2025-01-27T20:00:00,5383,5426,5371,5426,1737977396671,45074818.36784082,8352.3009682,30
KRW-ZRO,2025-01-27T10:30:00,2025-01-27T19:30:00,5452,5452,5366,5380,1737975595067,239040757.51753178,44408.48746319,30
KRW-ZRO,2025-01-27T10:00:00,2025-01-27T19:00:00,5477,5487,5452,5453,1737973710843,20502359.40793201,3751.69498199,30
KRW-ZRO,2025-01-27T09:30:00,2025-01-27T18:30:00,5416,5480,5395,5480,1737971949027,25080712.63839654,4604.95714575,30
KRW-ZRO,2025-01-27T09:00:00,2025-01-27T18:00:00,5377,5469,5350,5405,1737970190492,44777443.60572682,8235.42012213,30
KRW-ZRO,2025-01-27T08:30:00,2025-01-27T17:30:00,5402,5402,5325,5375,1737968351761,97783027.6896716,18281.00709637,30
KRW-ZRO,2025-01-27T08:00:00,2025-01-27T17:00:00,5443,5443,5365,5415,1737966584140,81864162.5703314,15160.52105391,30
KRW-ZRO,2025-01-27T07:30:00,2025-01-27T16:30:00,5345,5467,5326,5444,1737964790814,297703524.0583747,55274.72502249,30
KRW-ZRO,2025-01-27T07:00:00,2025-01-27T16:00:00,5432,5466,5326,5326,1737962984029,200838080.7275767,37174.43057383,30
KRW-ZRO,2025-01-27T06:30:00,2025-01-27T15:30:00,5425,5468,5383,5424,1737961196595,269258345.37664974,49719.41455825,30
KRW-ZRO,2025-01-27T06:00:00,2025-01-27T15:00:00,5434,5476,5425,5433,1737959396805,245410140.42465922,45044.5750191,30
KRW-ZRO,2025-01-27T05:30:00,2025-01-27T14:30:00,5488,5489,5409,5437,1737957566977,220622410.73266366,40549.88762469,30
KRW-ZRO,2025-01-27T05:00:00,2025-01-27T14:00:00,5504,5520,5472,5486,1737955784278,121104092.29673314,22066.03317766,30
KRW-ZRO,2025-01-27T04:30:00,2025-01-27T13:30:00,5522,5551,5498,5507,1737953821869,82107277.39560467,14863.24762033,30
KRW-ZRO,2025-01-27T04:00:00,2025-01-27T13:00:00,5580,5584,5498,5522,1737952173931,47554095.65548077,8593.36620176,30
KRW-ZRO,2025-01-27T03:30:00,2025-01-27T12:30:00,5588,5588,5555,5575,1737950304273,37392833.35961994,6719.11879937,30
KRW-ZRO,2025-01-27T03:00:00,2025-01-27T12:00:00,5530,5600,5523,5599,1737948577072,77728689.68494971,13983.67300978,30
KRW-ZRO,2025-01-27T02:30:00,2025-01-27T11:30:00,5520,5534,5488,5512,1737946786943,88939222.99520124,16159.14212897,30
KRW-ZRO,2025-01-27T02:00:00,2025-01-27T11:00:00,5536,5588,5495,5526,1737944946098,253660600.4978488,45871.80767179,30
KRW-ZRO,2025-01-27T01:30:00,2025-01-27T10:30:00,5508,5566,5508,5566,1737943110065,127068196.6799716,22997.26910637,30
KRW-ZRO,2025-01-27T01:00:00,2025-01-27T10:00:00,5537,5560,5463,5511,1737941388946,309271942.3086614,56117.63459228,30
KRW-ZRO,2025-01-27T00:30:00,2025-01-27T09:30:00,5585,5585,5516,5528,1737939594609,321490125.47585183,57947.9462999,30
KRW-ZRO,2025-01-27T00:00:00,2025-01-27T09:00:00,5700,5727,5552,5584,1737937768297,458849647.17016953,81630.39071128,30
KRW-ZRO,2025-01-26T23:30:00,2025-01-27T08:30:00,5717,5721,5683,5689,1737935998900,115638378.30516173,20301.1280123,30
KRW-ZRO,2025-01-26T23:00:00,2025-01-27T08:00:00,5780,5801,5701,5721,1737934158476,143653554.8875053,25003.30722764,30
KRW-ZRO,2025-01-26T22:30:00,2025-01-27T07:30:00,5801,5822,5770,5792,1737932364629,17159755.50819578,2956.45083502,30
KRW-ZRO,2025-01-26T22:00:00,2025-01-27T07:00:00,5793,5802,5760,5783,1737930591020,38969382.88012062,6749.90803809,30
KRW-ZRO,2025-01-26T21:30:00,2025-01-27T06:30:00,5815,5824,5794,5799,1737928798650,18087137.26235225,3113.5915369,30
KRW-ZRO,2025-01-26T21:00:00,2025-01-27T06:00:00,5832,5842,5800,5810,1737926964918,37673018.58209731,6479.45014602,30
KRW-ZRO,2025-01-26T20:30:00,2025-01-27T05:30:00,5883,5883,5833,5833,1737925157381,17247959.63877777,2939.03471088,30
KRW-ZRO,2025-01-26T20:00:00,2025-01-27T05:00:00,5893,5893,5874,5893,1737923144743,2887995.26687694,490.79963711,30
KRW-ZRO,2025-01-26T19:30:00,2025-01-27T04:30:00,5882,5893,5879,5891,1737921345533,7663807.92337005,1302.67332207,30
KRW-ZRO,2025-01-26T19:00:00,2025-01-27T04:00:00,5876,5888,5872,5876,1737919623063,14132351.72049338,2405.49352938,30
KRW-ZRO,2025-01-26T18:30:00,2025-01-27T03:30:00,5893,5905,5873,5873,1737917943559,2421383.91169431,411.09504772,30
KRW-ZRO,2025-01-26T18:00:00,2025-01-27T03:00:00,5851,5907,5851,5907,1737916087756,37638975.48805888,6387.74888251,30
KRW-ZRO,2025-01-26T17:30:00,2025-01-27T02:30:00,5823,5892,5822,5878,1737914330951,100763538.14568521,17145.53971187,30
KRW-ZRO,2025-01-26T17:00:00,2025-01-27T02:00:00,5810,5846,5809,5824,1737912594204,41076694.56910065,7058.83582403,30
