"market","candle_date_time_utc","candle_date_time_kst","opening_price","high_price","low_price","trade_price","timestamp","candle_acc_trade_price","candle_acc_trade_volume","unit"
"KRW-STPT","2025-01-25T12:30:00","2025-01-25T21:30:00",196.1,197.6,193.8,194.6,1737808474169,4633284875.989533,23611798.36803837,30
"KRW-STPT","2025-01-25T12:00:00","2025-01-25T21:00:00",197.6,203.6,189.6,196,1737808200016,48807637055.81426,249094996.96839127,30
"KRW-STPT","2025-01-25T11:30:00","2025-01-25T20:30:00",188.5,199.8,188.5,197.5,1737806399487,52340730004.53347,267103231.47049338,30
"KRW-STPT","2025-01-25T11:00:00","2025-01-25T20:00:00",185.1,189.6,177.8,188.5,1737804599976,17825200827.0324,97040909.06829575,30
"KRW-STPT","2025-01-25T10:30:00","2025-01-25T19:30:00",186.7,188.8,180.8,185.1,1737802799435,17143996496.858927,92886141.49674834,30
"KRW-STPT","2025-01-25T10:00:00","2025-01-25T19:00:00",180.5,190.2,178.5,186.8,1737800999810,34534412980.70237,185779929.19865733,30
"KRW-STPT","2025-01-25T09:30:00","2025-01-25T18:30:00",173.4,181.8,172,180.4,1737799200003,21051277846.006203,118838206.87491395,30
"KRW-STPT","2025-01-25T09:00:00","2025-01-25T18:00:00",187.7,187.9,171.1,173.6,1737797399997,43417186814.50708,243661595.1920295,30
"KRW-STPT","2025-01-25T08:30:00","2025-01-25T17:30:00",178.3,196.5,176.2,187.7,1737795600038,71297329817.5031,379683826.93741584,30
"KRW-STPT","2025-01-25T08:00:00","2025-01-25T17:00:00",164.7,187,164,178,1737793800032,48906886413.23819,278668856.3166366,30
"KRW-STPT","2025-01-25T07:30:00","2025-01-25T16:30:00",164.8,167.6,157.6,164.8,1737792000016,21656092577.11244,133212679.3632703,30
"KRW-STPT","2025-01-25T07:00:00","2025-01-25T16:00:00",156,166,154.2,164.3,1737790199853,15201570790.855688,95047158.3943802,30
"KRW-STPT","2025-01-25T06:30:00","2025-01-25T15:30:00",147,157.4,145.7,156,1737788399632,9757997318.770267,63771943.67690551,30
